variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
epi_confirmed_new,USA,0.5000,2.0690,5308.1935,29176.3000,23563.7097,27338.9333,61434.2581,48456.4194,38459.5714
epi_confirmed_new,USG,,,,,,,,,
epi_confirmed_new,UZB,,,9.3125,61.7667,50.0645,158.1333,492.2581,583.6452,482.7619
epi_confirmed_new,VAT,,,0.3529,0.1333,0.0645,0.0000,0.0000,0.0000,0.0000
epi_confirmed_new,VCT,,,0.1250,0.5000,0.3226,0.1000,0.7419,0.2581,0.1905
epi_confirmed_new,VEN,,,7.9412,6.5333,36.3871,140.3793,397.7097,903.5161,989.9048
epi_confirmed_new,VGB,,,0.6000,0.1000,0.0645,0.0000,0.0000,0.9355,1.6190
epi_confirmed_new,VIR,,,4.2857,1.2000,0.0968,0.5000,9.7097,24.1613,6.4286
epi_confirmed_new,VNM,0.5000,0.3793,7.0370,2.1333,1.8387,0.9333,4.9677,17.1290,1.3333
epi_confirmed_new,VUT,,,,,,,,,
epi_confirmed_new,WLF,,,,,,,,,
epi_confirmed_new,WSB,,,,,,,,,
epi_confirmed_new,WSM,,,,,,,,,
epi_confirmed_new,YEM,,,,0.2857,9.8065,27.2667,19.2903,7.3226,3.6667
epi_confirmed_new,ZAF,,,55.2500,134.1333,826.3548,3776.5667,10900.1613,4609.2581,1721.6667
epi_confirmed_new,ZMB,,,2.6923,2.0667,30.9677,17.0333,128.6129,208.7097,100.2857
epi_confirmed_new,ZWE,,,0.6364,0.9000,4.5161,13.3333,81.2258,107.0968,60.5238
epi_confirmed_new,_WORLD,943.2000,2576.1034,23299.2903,77660.2667,92704.4516,141041.9667,227349.7742,257167.6774,278265.8571
