variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
eco_close_pct,MMR,,,,,,,,
eco_close_pct,MNE,,,,,,,,
eco_close_pct,MNG,,,,,,,,
eco_close_pct,MNP,,,,,,,,
eco_close_pct,MOZ,,,,,,,,
eco_close_pct,MRT,,,,,,,,
eco_close_pct,MSR,,,,,,,,
eco_close_pct,MUS,,,,,,,,
eco_close_pct,MWI,,,,,,,,
eco_close_pct,MYS,-0.002,-0.000,0.002,0.002,0.002,0.001,0.002,-0.003
eco_close_pct,NAM,,,,,,,,
eco_close_pct,NCL,,,,,,,,
eco_close_pct,NER,,,,,,,,
eco_close_pct,NFK,,,,,,,,
eco_close_pct,NGA,,,,,,,,
eco_close_pct,NIC,,,,,,,,
eco_close_pct,NIU,,,,,,,,
eco_close_pct,NLD,-0.003,-0.001,-0.003,-0.001,0.002,0.002,-0.002,0.002
eco_close_pct,NOR,-0.004,-0.005,-0.006,0.005,0.002,-0.000,0.002,0.005
eco_close_pct,NPL,,,,,,,,
eco_close_pct,NRU,,,,,,,,
eco_close_pct,NZL,-0.001,-0.003,-0.001,0.005,0.002,-0.001,0.001,-0.002
eco_close_pct,OMN,,,,,,,,
eco_close_pct,PAK,,,,,,,,
eco_close_pct,PAN,,,,,,,,
eco_close_pct,PCN,,,,,,,,
eco_close_pct,PER,,,,,,,,
eco_close_pct,PGA,,,,,,,,
eco_close_pct,PHL,,,,,,,,
eco_close_pct,PLW,,,,,,,,
eco_close_pct,PNG,,,,,,,,
eco_close_pct,POL,,,,,,,,
eco_close_pct,PRI,,,,,,,,
eco_close_pct,PRK,,,,,,,,
eco_close_pct,PRT,,,,,,,,
eco_close_pct,PRY,,,,,,,,
eco_close_pct,PSX,,,,,,,,
eco_close_pct,PYF,,,,,,,,
eco_close_pct,QAT,,,,,,,,
eco_close_pct,ROU,,,,,,,,
eco_close_pct,RUS,-0.005,-0.003,-0.002,0.001,0.001,-0.001,0.003,0.004
eco_close_pct,RWA,,,,,,,,
eco_close_pct,SAH,,,,,,,,
eco_close_pct,SAU,,,,,,,,
eco_close_pct,SCR,,,,,,,,
eco_close_pct,SDN,,,,,,,,
eco_close_pct,SDS,,,,,,,,
eco_close_pct,SEN,,,,,,,,
eco_close_pct,SER,,,,,,,,
eco_close_pct,SGP,-0.001,0.000,-0.005,0.002,-0.001,0.000,-0.004,0.001
eco_close_pct,SGS,,,,,,,,
eco_close_pct,SHN,,,,,,,,
eco_close_pct,SLB,,,,,,,,
eco_close_pct,SLE,,,,,,,,
eco_close_pct,SLV,,,,,,,,
eco_close_pct,SMR,,,,,,,,
eco_close_pct,SOL,,,,,,,,
eco_close_pct,SOM,,,,,,,,
eco_close_pct,SPM,,,,,,,,
eco_close_pct,SRB,,,,,,,,
eco_close_pct,STP,,,,,,,,
eco_close_pct,SUR,,,,,,,,
eco_close_pct,SVK,,,,,,,,
eco_close_pct,SVN,,,,,,,,
eco_close_pct,SWE,-0.003,-0.001,-0.002,-0.002,0.002,0.001,-0.001,0.002
eco_close_pct,SWZ,,,,,,,,
eco_close_pct,SXM,,,,,,,,
eco_close_pct,SYC,,,,,,,,
eco_close_pct,SYR,,,,,,,,
eco_close_pct,TCA,,,,,,,,
eco_close_pct,TCD,,,,,,,,
eco_close_pct,TGO,,,,,,,,
eco_close_pct,THA,,,,,,,,
eco_close_pct,TJK,,,,,,,,
eco_close_pct,TKM,,,,,,,,
eco_close_pct,TLS,,,,,,,,
eco_close_pct,TON,,,,,,,,
eco_close_pct,TTO,,,,,,,,
eco_close_pct,TUN,,,,,,,,
eco_close_pct,TUR,,,,,,,,
eco_close_pct,TUV,,,,,,,,
eco_close_pct,TWN,-0.021,0.000,-0.004,0.004,-0.000,0.002,0.000,0.000
eco_close_pct,TZA,,,,,,,,
eco_close_pct,UGA,,,,,,,,
eco_close_pct,UKR,,,,,,,,
eco_close_pct,UMI,,,,,,,,
eco_close_pct,URY,,,,,,,,
eco_close_pct,USA,-0.002,-0.004,0.001,0.001,-0.000,-0.000,0.000,0.004
eco_close_pct,USG,,,,,,,,
eco_close_pct,UZB,,,,,,,,
eco_close_pct,VAT,,,,,,,,
eco_close_pct,VCT,,,,,,,,
eco_close_pct,VEN,,,,,,,,
eco_close_pct,VGB,,,,,,,,
eco_close_pct,VIR,,,,,,,,
eco_close_pct,VNM,,,,,,,,
eco_close_pct,VUT,,,,,,,,
eco_close_pct,WLF,,,,,,,,
eco_close_pct,WSB,,,,,,,,
eco_close_pct,WSM,,,,,,,,
eco_close_pct,YEM,,,,,,,,
eco_close_pct,ZAF,,,,,,,,
eco_close_pct,ZMB,,,,,,,,
eco_close_pct,ZWE,,,,,,,,
eco_close_pct,_WORLD,-0.003,-0.002,-0.006,0.002,0.000,0.001,-0.000,0.002
