variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_risk_index,GRL,0.234,0.254,0.239,0.220,0.230,0.237,0.208,0.291
info_risk_index,GTM,0.600,0.516,0.514,0.452,0.489,0.474,0.554,0.582
info_risk_index,GUM,0.729,0.358,0.551,0.521,0.589,0.336,0.494,0.683
info_risk_index,GUY,0.142,0.197,0.279,0.228,0.205,0.149,0.194,0.271
info_risk_index,HKG,0.022,0.005,0.015,0.012,0.010,0.006,0.013,0.007
info_risk_index,HMD,0.319,0.100,0.560,0.000,0.286,0.000,0.111,0.333
info_risk_index,HND,0.521,0.500,0.511,0.429,0.383,0.419,0.451,0.481
info_risk_index,HRV,0.295,0.273,0.205,0.226,0.221,0.149,0.240,0.355
info_risk_index,HTI,0.260,0.341,0.562,0.532,0.418,0.212,0.441,0.471
info_risk_index,HUN,0.408,0.350,0.368,0.418,0.359,0.393,0.423,0.512
info_risk_index,IDN,0.404,0.178,0.175,0.178,0.171,0.139,0.160,0.147
info_risk_index,IMN,0.204,0.110,0.239,0.118,0.114,0.088,0.161,0.280
info_risk_index,IND,0.291,0.381,0.393,0.370,0.376,0.397,0.310,0.304
info_risk_index,IOA,0.326,0.185,0.310,0.193,0.417,0.257,0.482,0.408
info_risk_index,IOT,0.474,0.057,0.295,0.404,0.361,0.254,0.344,0.169
info_risk_index,IRL,0.037,0.021,0.027,0.025,0.033,0.020,0.021,0.031
info_risk_index,IRN,0.646,0.713,0.572,0.621,0.704,0.566,0.531,0.504
info_risk_index,IRQ,0.184,0.083,0.087,0.100,0.067,0.062,0.078,0.083
info_risk_index,ISL,0.186,0.186,0.275,0.262,0.235,0.324,0.365,0.377
info_risk_index,ISR,0.246,0.171,0.274,0.238,0.324,0.292,0.294,0.426
info_risk_index,ITA,0.170,0.136,0.037,0.043,0.032,0.011,0.017,0.018
info_risk_index,JAM,0.233,0.193,0.206,0.226,0.213,0.176,0.235,0.228
info_risk_index,JEY,0.220,0.226,0.263,0.299,0.309,0.170,0.257,0.230
info_risk_index,JOR,0.116,0.145,0.173,0.159,0.218,0.169,0.135,0.226
info_risk_index,JPN,0.088,0.055,0.066,0.058,0.054,0.045,0.064,0.119
info_risk_index,KAB,,,0.000,,0.000,,0.500,
info_risk_index,KAS,,,,,,,,
info_risk_index,KAZ,0.413,0.381,0.345,0.352,0.352,0.262,0.416,0.640
info_risk_index,KEN,0.223,0.159,0.137,0.174,0.128,0.145,0.116,0.052
info_risk_index,KGZ,0.112,0.107,0.229,0.184,0.084,0.190,0.196,0.062
info_risk_index,KHM,0.197,0.127,0.213,0.201,0.145,0.137,0.212,0.182
info_risk_index,KIR,0.417,0.364,0.228,0.245,0.146,0.157,0.284,0.374
info_risk_index,KNA,0.249,0.096,0.234,0.276,0.246,0.222,0.354,0.372
info_risk_index,KOR,0.201,0.178,0.185,0.152,0.181,0.170,0.155,0.208
info_risk_index,KOS,1.000,0.991,0.962,0.938,0.955,0.998,0.993,1.000
info_risk_index,KWT,0.239,0.170,0.149,0.196,0.133,0.097,0.181,0.264
info_risk_index,LAO,0.220,0.342,0.249,0.146,0.207,0.210,0.154,0.460
info_risk_index,LBN,0.260,0.091,0.161,0.139,0.196,0.204,0.186,0.350
info_risk_index,LBR,0.364,0.220,0.310,0.320,0.179,0.250,0.280,0.202
info_risk_index,LBY,0.403,0.307,0.553,0.571,0.482,0.310,0.318,0.338
info_risk_index,LCA,0.183,0.200,0.201,0.199,0.099,0.175,0.144,0.275
info_risk_index,LIE,0.308,0.212,0.377,0.344,0.051,0.186,0.242,0.223
info_risk_index,LKA,0.375,0.178,0.206,0.220,0.180,0.151,0.268,0.230
info_risk_index,LSO,0.421,0.219,0.242,0.211,0.201,0.212,0.224,0.252
info_risk_index,LTU,0.331,0.239,0.268,0.347,0.325,0.306,0.323,0.257
info_risk_index,LUX,0.483,0.418,0.515,0.459,0.504,0.330,0.328,0.621
info_risk_index,LVA,0.360,0.249,0.246,0.246,0.225,0.155,0.221,0.252
info_risk_index,MAC,0.434,0.361,0.505,0.424,0.536,0.226,0.468,0.626
info_risk_index,MAF,0.431,0.252,0.252,0.112,0.064,0.172,0.245,0.510
info_risk_index,MAR,0.207,0.242,0.196,0.219,0.267,0.187,0.207,0.184
info_risk_index,MCO,0.311,0.353,0.326,0.353,0.281,0.213,0.341,0.583
info_risk_index,MDA,0.473,0.321,0.207,0.424,0.300,0.287,0.334,0.392
info_risk_index,MDG,0.429,0.218,0.352,0.164,0.397,0.379,0.217,0.429
info_risk_index,MDV,0.368,0.209,0.212,0.206,0.180,0.194,0.159,0.201
info_risk_index,MEX,0.584,0.374,0.368,0.409,0.383,0.404,0.363,0.480
info_risk_index,MHL,,,,,,,,
info_risk_index,MKD,0.441,0.431,0.189,0.232,0.205,0.229,0.263,0.511
info_risk_index,MLI,0.277,0.298,0.249,0.353,0.369,0.305,0.475,0.348
info_risk_index,MLT,0.381,0.353,0.377,0.531,0.482,0.334,0.499,0.599
info_risk_index,MMR,0.220,0.183,0.194,0.208,0.180,0.196,0.295,0.306
info_risk_index,MNE,0.383,0.398,0.325,0.387,0.380,0.363,0.435,0.440
info_risk_index,MNG,0.383,0.250,0.222,0.259,0.201,0.228,0.229,0.310
info_risk_index,MNP,0.658,0.230,0.327,0.589,0.378,0.256,0.363,0.243
info_risk_index,MOZ,0.251,0.162,0.218,0.383,0.339,0.237,0.224,0.373
info_risk_index,MRT,0.138,0.120,0.293,0.175,0.173,0.178,0.221,0.333
info_risk_index,MSR,0.552,0.119,0.436,0.589,0.447,0.229,0.298,0.385
info_risk_index,MUS,0.216,0.181,0.278,0.315,0.256,0.229,0.253,0.230
info_risk_index,MWI,0.305,0.216,0.209,0.267,0.207,0.233,0.314,0.310
info_risk_index,MYS,0.243,0.088,0.102,0.049,0.082,0.058,0.097,0.039
info_risk_index,NAM,0.214,0.239,0.119,0.175,0.151,0.184,0.132,0.277
info_risk_index,NCL,0.471,0.573,0.560,0.572,0.550,0.551,0.519,0.637
info_risk_index,NER,0.166,0.287,0.209,0.226,0.184,0.138,0.160,0.199
info_risk_index,NFK,0.015,0.222,0.237,0.125,0.182,0.111,0.050,0.000
info_risk_index,NGA,0.048,0.033,0.073,0.111,0.127,0.129,0.087,0.091
info_risk_index,NIC,0.611,0.530,0.438,0.387,0.301,0.379,0.415,0.251
info_risk_index,NIU,0.291,0.062,0.176,0.072,0.204,0.229,0.111,0.000
