date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-04-23,LVA,848,317,40,491,368,26,18,205,0.4091,28,161,1,25,0,0,8,9,1,,,,,,,,,761.0,13.0,11.0,2.0,41041.0,1705.0
2020-04-24,LVA,799,291,51,457,330,33,9,201,0.2143,36,157,0,33,0,1,5,3,0,,,,,,,,,778.0,17.0,11.0,0.0,43080.0,2039.0
2020-04-25,LVA,811,246,44,521,286,40,14,182,0.2593,50,130,2,38,0,1,11,0,2,,,,,,,,,784.0,6.0,12.0,1.0,45743.0,2663.0
2020-04-26,LVA,982,260,40,682,310,40,106,178,0.726,44,131,0,40,0,1,100,2,3,,,,,,,,,804.0,20.0,12.0,0.0,47617.0,1874.0
2020-04-27,LVA,879,324,43,512,372,34,11,220,0.2444,37,179,0,34,0,0,10,1,0,,,,,,,,,812.0,8.0,12.0,0.0,49181.0,1564.0
2020-04-28,LVA,917,307,52,558,359,53,7,223,0.1167,43,176,1,52,0,0,7,0,0,,,,,,,,,818.0,6.0,13.0,1.0,51561.0,2380.0
2020-04-29,LVA,824,326,55,443,343,43,8,167,0.1569,39,124,5,38,0,0,8,0,0,,,,,,,,,836.0,18.0,13.0,0.0,54811.0,3250.0
2020-04-30,LVA,963,348,34,581,408,44,8,229,0.1538,36,178,2,42,0,0,7,1,0,,,,,,,,,849.0,13.0,15.0,2.0,57886.0,3075.0
2020-05-01,LVA,725,214,35,476,209,30,5,148,0.1429,34,111,2,28,0,0,5,0,0,,,,,,,,,858.0,9.0,15.0,0.0,61120.0,3234.0
2020-05-02,LVA,769,202,35,532,286,30,12,148,0.2857,34,110,4,26,0,1,11,0,0,,,,,,,,,870.0,12.0,16.0,1.0,63102.0,1982.0
