date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-04-24,CAN,64077,17031,3740,43306,60288,5400,1213,6643,0.1834,2487,3623,95,5305,7,6,1018,140,42,0.1029,0.0625,0.1872,0.2014,0.1935,0.1959,0.1933,0.0058,42099,1920,2146,172,643398.0,23297.0
2020-04-25,CAN,60109,14663,3663,41783,56485,5724,1109,6401,0.1623,2131,3701,118,5606,13,22,863,162,49,0.102,0.0911,0.0144,0.1529,0.1683,0.1843,0.1675,,43877,1778,2302,156,669558.0,26160.0
2020-04-26,CAN,58467,13544,3822,41101,54834,5215,1128,6094,0.1778,2183,3381,90,5125,0,23,915,144,46,0.0782,0.0444,0.0444,0.1578,0.188,0.2071,0.1871,,45341,1464,2465,163,691663.0,22105.0
2020-04-27,CAN,62173,16154,3723,42296,58563,5359,1207,6421,0.1838,2096,3762,110,5249,19,18,967,170,33,0.1093,0.0588,0.2989,0.2108,0.1877,0.1878,0.1877,0.0104,46884,1543,2560,95,717451.0,25788.0
2020-04-28,CAN,61452,16648,3878,40926,57974,4730,1163,6852,0.1974,2331,4003,148,4582,30,32,938,125,38,0.0769,0.0356,0.0447,0.2276,0.2119,0.1225,0.2173,0.0021,48489,1605,2707,147,740859.0,23408.0
2020-04-29,CAN,64797,17861,4107,42829,61042,5129,1397,7088,0.2141,2347,4233,124,5005,10,38,1150,160,39,0.1458,0.1229,0.1117,0.225,0.2365,0.18,0.2403,0.015,50015,1526,2859,152,758412.0,17553.0
2020-04-30,CAN,63604,17720,4184,41700,59764,5898,1286,7071,0.179,2335,4198,120,5778,5,20,1081,137,43,0.0727,0.0463,0.0099,0.1615,0.19,0.2395,0.186,-0.0221,51587,1572,2996,137,788283.0,29871.0
2020-05-01,CAN,60843,16652,3880,40311,57250,5311,1285,6599,0.1948,2057,4090,142,5169,2,30,917,292,44,0.087,0.0519,0.0451,0.1669,0.2088,0.2231,0.2079,0.0039,53236,1649,3184,188,832222.0,43939.0
2020-05-02,CAN,54261,13128,3478,37655,50563,4547,1216,5610,0.211,1841,3349,273,4274,4,25,952,184,51,0.1143,0.0661,0.0367,0.2683,0.2287,0.2636,0.2264,,55061,1825,3391,207,,
2020-05-03,CAN,52987,12515,3580,36892,49694,4452,1264,5434,0.2211,1690,3345,145,4307,2,24,860,321,57,0.0935,0.0547,0.0601,0.1778,0.2478,0.1921,0.2515,,56714,1653,3566,175,893490.0,
2020-05-04,CAN,63135,16389,3938,42808,59619,4580,1364,6405,0.2295,2136,3806,143,4437,4,20,993,309,38,0.0921,0.0468,0.0181,0.2305,0.2474,0.1789,0.2523,0.0131,59474,2760,3682,116,919368.0,25878.0
2020-05-05,CAN,62200,16249,3658,42293,58687,5109,1074,6125,0.1737,2144,3459,202,4907,3,31,843,138,59,0.1018,0.0523,0.0589,0.2623,0.1814,0.1839,0.1812,-0.0059,60772,1298,3854,172,940567.0,21199.0
2020-05-06,CAN,63812,17029,3840,42943,60244,4881,1293,6945,0.2094,2106,4238,124,4757,4,24,992,181,92,0.1458,0.0782,0.0612,0.3224,0.2298,0.1546,0.2342,-0.0017,62046,1274,4043,189,942526.0,1959.0
2020-05-07,CAN,62381,16995,3803,41583,58304,5387,1191,6806,0.1811,1955,4291,156,5231,0,74,894,146,77,0.1058,0.0744,0.0132,0.2389,0.1923,0.1518,0.1943,-0.0087,63496,1450,4232,189,1001882.0,59356.0
2020-05-08,CAN,62867,17155,3920,41792,58794,5014,958,6959,0.1604,2192,4284,134,4880,4,22,761,124,47,0.0806,0.0433,0.0118,0.2475,0.1667,0.1944,0.1649,0.0006,64922,1426,4408,176,1032012.0,30130.0
2020-05-09,CAN,56205,13601,3498,39106,52456,5349,1293,6072,0.1947,1888,3778,200,5149,2,12,1044,187,48,0.1018,0.0539,0.009,0.2319,0.1979,0.1882,0.1982,,66434,1512,4569,161,1067595.0,35583.0
2020-05-10,CAN,49915,11413,3286,35216,46482,4108,1213,4633,0.228,1514,2772,109,3999,6,58,878,220,51,0.1019,0.0564,0.0047,0.2937,0.2443,0.1824,0.2471,,67702,1268,4693,124,1093228.0,25633.0
2020-05-11,CAN,57192,14862,3522,38808,53877,4030,1153,5978,0.2225,1993,3583,132,3898,1,42,928,138,44,0.0633,0.0294,0.0622,0.2314,0.2532,0.2123,0.2556,0.0135,68848,1146,4871,178,1118950.0,25722.0
2020-05-12,CAN,61074,15910,3880,41284,57354,4580,1051,6312,0.1866,2127,3763,118,4462,1,14,837,131,68,0.0741,0.0384,0.0494,0.177,0.2098,0.1454,0.2144,-0.0185,69981,1133,4993,122,1145683.0,26733.0
2020-05-13,CAN,61785,16375,4229,41181,58078,5266,1090,6755,0.1715,2244,4097,97,5169,15,29,853,150,43,0.0978,0.0467,0.0651,0.1912,0.1787,0.1495,0.1804,-0.0265,71157,1176,5169,176,1169380.0,23697.0
2020-05-14,CAN,50707,13923,3387,33397,47442,4509,905,5732,0.1672,1912,3447,100,4409,14,39,628,177,47,0.0851,0.0427,0.0719,0.2023,0.1688,0.224,0.1655,0.0114,72278,1121,5304,135,1172796.0,3416.0
2020-05-15,CAN,57051,15550,3767,37734,52354,4325,1301,6208,0.2312,1978,3789,149,4176,38,62,999,132,70,0.092,0.0477,0.0271,0.2388,0.2553,0.1404,0.2616,0.0093,73401,1123,5472,168,1232912.0,60116.0
