date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-04-09,YEM,424,91,15,318,60,11,2,29,0.1538,9,17,1,10,0,0,2,0,0,,,,,,,,,,,,,,
2020-04-10,YEM,613,148,27,438,156,20,4,53,0.1667,18,31,0,20,0,0,4,0,0,,,,,,,,,1.0,1.0,0.0,0.0,,
2020-04-11,YEM,470,69,13,388,59,15,2,38,0.1176,16,19,0,15,0,0,2,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-12,YEM,702,134,17,551,116,11,3,33,0.2143,21,8,0,11,0,0,3,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-13,YEM,429,82,19,328,47,10,3,34,0.2308,11,15,1,9,0,0,2,1,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-14,YEM,364,73,7,284,39,13,2,25,0.1333,7,16,1,12,0,0,2,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-15,YEM,402,84,15,303,41,21,4,32,0.16,19,10,1,20,0,0,4,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-16,YEM,297,56,15,226,21,10,1,25,0.0909,12,10,1,9,0,0,1,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-17,YEM,330,64,20,246,13,8,4,37,0.3333,25,9,0,8,0,0,2,2,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-18,YEM,366,62,39,265,27,14,3,40,0.1765,19,20,0,14,0,0,2,1,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-19,YEM,361,72,36,253,49,6,1,43,0.1429,23,15,1,5,0,0,1,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-20,YEM,385,81,32,272,38,18,6,44,0.25,27,16,0,18,0,1,2,3,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-21,YEM,361,76,17,268,32,11,8,32,0.4211,18,13,0,11,0,2,1,5,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-22,YEM,331,53,7,271,26,4,1,24,0.2,15,6,0,4,0,0,1,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-23,YEM,269,43,13,213,20,12,2,32,0.1429,16,13,4,8,0,0,2,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-24,YEM,302,64,7,231,14,7,3,46,0.3,17,24,1,6,0,0,2,0,1,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-25,YEM,338,56,9,273,23,12,2,51,0.1429,30,18,2,10,0,0,2,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
2020-04-26,YEM,295,63,16,216,21,9,1,40,0.1,23,12,0,9,0,0,1,0,0,,,,,,,,,1.0,0.0,0.0,0.0,,
