ADM0_A3,date,num_bot,num_hum,pct_num_bot,num_unrel_fact,num_rel_fact,pct_unrel_fact,fol_unrel_exp,fol_rel_exp,risk_index,sentiment
GUY,2020-03-13,83,153,0.352,4,7,0.364,5316,62520,0.078,-0.011
HKG,2020-03-13,1970,2799,0.413,80,364,0.18,363811,6028888,0.057,-0.124
HND,2020-03-13,698,1228,0.362,28,27,0.509,41751,38872,0.518,0.006
HRV,2020-03-13,378,487,0.437,12,37,0.245,2608,51031,0.049,-0.013
HTI,2020-03-13,941,1473,0.39,46,109,0.297,511474,696151,0.424,0.013
HUN,2020-03-13,1001,1449,0.409,25,73,0.255,62669,178985,0.259,-0.021
IDN,2020-03-13,13093,24084,0.352,203,1125,0.153,582036,2224476,0.207,0.008
IND,2020-03-13,37827,54359,0.41,1031,4230,0.196,193037279,249619209,0.436,0.011
IRL,2020-03-13,4809,6767,0.415,102,556,0.155,189130,11462993,0.016,0.079
IRN,2020-03-13,953,1198,0.443,40,74,0.351,308576,589719,0.344,-0.052
IRQ,2020-03-13,273,332,0.451,11,36,0.234,4466,46746,0.087,0.056
ISL,2020-03-13,548,801,0.406,14,45,0.237,26426,70045,0.274,-0.038
ISR,2020-03-13,425,617,0.408,21,59,0.263,69677,290433,0.193,-0.034
ITA,2020-03-13,17443,23564,0.425,463,1696,0.214,2472318,131739038,0.018,-0.009
JAM,2020-03-13,1259,1906,0.398,15,127,0.106,59556,321058,0.156,0.112
JOR,2020-03-13,241,381,0.387,9,38,0.191,115880,334162,0.257,0.034
JPN,2020-03-13,4087,5423,0.43,182,821,0.181,355533,3585650,0.09,0.004
KAZ,2020-03-13,445,552,0.446,7,26,0.212,9187,22313,0.292,0.025
KEN,2020-03-13,5148,9572,0.35,56,489,0.103,205159,4133391,0.047,0.107
KGZ,2020-03-13,34,69,0.33,0,4,0,0,3868,0,0.032
KHM,2020-03-13,85,155,0.354,5,11,0.313,16452,25871,0.389,-0.015
KOR,2020-03-13,2342,3073,0.433,56,164,0.255,85690,885654,0.088,0.019
KWT,2020-03-13,346,514,0.402,11,43,0.204,38093,175399,0.178,0.037
LAO,2020-03-13,450,582,0.436,8,50,0.138,14562,64915,0.183,-0.032
LBN,2020-03-13,520,817,0.389,18,55,0.247,733430,111492,0.868,0.039
LBR,2020-03-13,340,477,0.416,7,31,0.184,8206,86059,0.087,-0.026
LBY,2020-03-13,128,145,0.469,8,17,0.32,22452,44146,0.337,0.091
LKA,2020-03-13,588,919,0.39,6,46,0.115,66330,239262,0.217,0.028
LSO,2020-03-13,74,83,0.471,0,4,0,0,2833,0,0.075
LTU,2020-03-13,368,589,0.385,6,25,0.194,25779,20487,0.557,-0.083
LUX,2020-03-13,212,305,0.41,7,21,0.25,209759,38082,0.846,0.12
LVA,2020-03-13,468,709,0.398,10,30,0.25,14732,156988,0.086,-0.015
MAC,2020-03-13,65,88,0.425,5,3,0.625,58293,12396,0.825,-0.117
MAR,2020-03-13,1684,2310,0.422,38,129,0.228,77742,182581,0.299,-0.038
MDA,2020-03-13,248,335,0.425,2,18,0.1,272,17189,0.016,-0.031
MDG,2020-03-13,111,226,0.329,9,8,0.529,65592,57409,0.533,0.163
MDV,2020-03-13,601,910,0.398,19,73,0.207,39096,180091,0.178,0.15
MEX,2020-03-13,28426,44201,0.391,698,1316,0.347,20275882,12144014,0.625,-0.017
MKD,2020-03-13,143,190,0.429,4,11,0.267,1170,14511,0.075,0.025
MLI,2020-03-13,247,312,0.442,10,27,0.27,37660,55137,0.406,-0.041
MLT,2020-03-13,303,414,0.423,9,22,0.29,64073,23077,0.735,0.048
MMR,2020-03-13,239,373,0.391,3,19,0.136,903,19880,0.043,0.029
MNE,2020-03-13,128,110,0.538,4,9,0.308,1267,34863,0.035,-0.071
MNG,2020-03-13,426,596,0.417,16,47,0.254,69066,204979,0.252,-0.059
MOZ,2020-03-13,400,618,0.393,8,28,0.222,5967,31542,0.159,0.033
MRT,2020-03-13,25,28,0.472,1,2,0.333,590,2812,0.173,-0.174
MUS,2020-03-13,138,173,0.444,6,20,0.231,19067,23640,0.446,0.056
MWI,2020-03-13,402,466,0.463,2,39,0.049,1888,61378,0.03,0.011
MYS,2020-03-13,13191,20615,0.39,61,1060,0.054,1299280,14668823,0.081,-0.009
NAM,2020-03-13,327,605,0.351,8,28,0.222,3300,42945,0.071,0.026
NER,2020-03-13,155,221,0.412,7,9,0.438,13269,29235,0.312,0.042
NGA,2020-03-13,7569,13573,0.358,188,1108,0.145,400434,33406977,0.012,0.056
NIC,2020-03-13,775,1067,0.421,17,34,0.333,17062,52917,0.244,-0.057
NLD,2020-03-13,5370,7591,0.414,152,511,0.229,856852,1178416,0.421,0.012
NOR,2020-03-13,2517,3672,0.407,69,247,0.218,165114,573303,0.224,-0.009
NPL,2020-03-13,640,1020,0.386,18,84,0.176,80955,291722,0.217,0.095
NZL,2020-03-13,1722,2388,0.419,65,231,0.22,417639,483638,0.463,-0.03
OMN,2020-03-13,154,252,0.379,4,22,0.154,2086,60036,0.034,0.037
PAK,2020-03-13,4755,7026,0.404,127,445,0.222,507693,6476660,0.073,0.101
PAN,2020-03-13,1288,2087,0.382,70,89,0.44,636259,119836,0.842,-0.079
PER,2020-03-13,5274,7755,0.405,399,232,0.632,28500524,625020,0.979,-0.01
PHL,2020-03-13,13227,18943,0.411,194,372,0.343,11074438,826948,0.931,0.048
PNG,2020-03-13,478,663,0.419,11,40,0.216,5853,66972,0.08,-0.043
POL,2020-03-13,2671,3679,0.421,95,263,0.265,80810,474186,0.146,-0.02
PRI,2020-03-13,2831,4202,0.403,86,179,0.325,126250,4294795,0.029,-0.065
PRK,2020-03-13,165,186,0.47,7,15,0.318,119948,14135,0.895,0.002
PRT,2020-03-13,5184,7084,0.423,71,232,0.234,228851,839763,0.214,0.032
PRY,2020-03-13,2924,5461,0.349,62,121,0.339,293372,674209,0.303,-0.049
