iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
NER,2020-03-22,476,8,6,37,9440,7290,28968,0.43574,1,171,1,303,-0.00536,5.37346,4.24384,5.48331,,,,,,2,0,0,
NFK,2020-03-22,6,0,0,0,0,0,0,0,0,2,0,4,0.5295,5.512,3.53783,5.86033,,,,,,,,,
NGA,2020-03-22,44780,1404,254,3728,89748710,9578987,67826983,0.09644,285,15367,61,29066,0.04282,5.45362,4.21596,5.52953,-0.02102,-0.0458,-0.01936,0.04235,-0.03874,30,2,0,
NIC,2020-03-22,3935,33,31,257,34063,113440,4107267,0.76907,93,1635,25,2182,0.19106,5.51034,4.25812,5.68326,-0.03642,-0.07189,-0.05934,0.04989,-0.09258,2,0,0,
NIU,2020-03-22,38,1,0,3,13786,0,41347,0,0,3,0,35,0.13853,5.33436,4.22538,5.19855,,,,,,,,,
NLD,2020-03-22,15409,573,245,1914,3546376,1544484,18911151,0.30338,163,6244,71,8929,0.00606,5.39642,4.27107,5.45154,-0.02781,-0.04559,-0.021,0.05494,-0.03857,4216,2,180,
NOR,2020-03-22,6254,233,104,385,564002,362939,1803875,0.39154,24,2486,10,3728,-0.0024,5.39036,4.25183,5.45581,-0.04283,-0.05835,-0.05402,0.07129,-0.05875,2383,1,7,
NPL,2020-03-22,2434,68,31,247,424211,128137,5029693,0.23199,36,941,9,1448,0.07924,5.44233,4.2524,5.47999,-0.0417,-0.03898,-0.04337,0.07473,-0.04263,2,1,0,
NRU,2020-03-22,31,1,0,0,53,0,0,0,0,19,0,12,0.08136,5.30979,3.99792,5.339,,,,,,,,,
NZL,2020-03-22,6806,383,113,836,1273659,454035,7985207,0.2628,146,2827,40,3792,0.04354,5.47384,4.20293,5.54257,-0.03943,-0.04551,-0.04482,0.07726,-0.05165,66,0,0,
OMN,2020-03-22,724,14,2,49,8690,348,908545,0.0385,20,292,0,412,0.0951,5.48152,4.21931,5.5786,-0.05489,-0.05549,-0.05934,0.09845,-0.0446,55,17,0,
PAK,2020-03-22,28112,720,157,1480,8632742,2601649,59523968,0.23158,342,10872,69,16829,0.0865,5.45034,4.24224,5.55156,-0.02476,-0.02812,-0.02494,0.05688,-0.02558,776,5,5,
PAN,2020-03-22,3934,82,76,285,192326,315891,2602101,0.62157,25,1393,19,2497,0.10757,5.36692,4.2825,5.39685,-0.03279,-0.06376,-0.01676,0.02025,-0.06624,245,0,3,
PCN,2020-03-22,9,0,0,0,0,0,0,0,0,2,0,7,-0.25015,5.42933,4.05718,5.73718,,,,,,,,,
PER,2020-03-22,20429,238,1030,2197,691931,105858974,79118361,0.99351,225,7960,59,12185,0.19097,5.38773,4.27428,5.46558,-0.01903,-0.03212,-0.01836,0.04296,-0.02212,363,1,5,
