country;iso3;date;EPI_confirmed_cum;EPI_dead_cum;EPI_recovered_cum;ECO_price_open;ECO_price_high;ECO_price_low;ECO_price_close;EMO_Sentiment;EMO_Sentiment_stderr;EMO_VAD_V;EMO_VAD_A;EMO_VAD_D;EMO_VAD_V_stderr;EMO_VAD_A_stderr;EMO_VAD_D_stderr;EMO_Big5_O;EMO_Big5_C;EMO_Big5_E;EMO_Big5_A;EMO_Big5_N;EMO_Big5_O_stderr;EMO_Big5_C_stderr;EMO_Big5_E_stderr;EMO_Big5_A_stderr;EMO_Big5_N_stderr
Japan;JPN;2020-02-08;86;0;1;;;;;-0.11883211538461526;0.01191953817625867;5.165110036982814;5.187253263068702;4.30826345728219;0.019928872302801093;0.012941197663903298;0.01003674791601351;-0.0015861655125341276;-0.0008326227351700172;-0.024230431560472096;0.0008317080665177474;0.07385228557724671;0.000243599203332194;0.00020368676174203923;0.0009283278609595668;0.0002618444235948808;0.0008285382043955906
Japan;JPN;2020-02-09;90;0;1;;;;;-0.12902224610424506;0.012028792678585386;5.208113029322691;5.211210250614849;4.301606311077107;0.020039558553654975;0.013782871161414908;0.010665662611031879;-0.0006662551202137133;-0.0006160926090828137;-0.030049778382733077;0.00038545955773226445;0.07704438028868796;0.00020287093336194423;0.0002139479997947674;0.0009832688946015287;0.000276079956715455;0.0008857162075049353
Japan;JPN;2020-02-10;161;0;4;-0.0112442258505467;-0.00650300611439114;-0.00581242261606896;-0.00597720838112359;-0.11416600000000009;0.011889201209561119;5.278295211560559;5.263085424085454;4.255018593165753;0.017418257608619325;0.013179436444364217;0.009203070316091837;-0.0005872821093986098;-0.0003559703838017528;-0.033136581785606065;0.00032646530673919607;0.0765768129701432;0.00016165751419695582;0.00024322303021445468;0.0009806369654223445;0.00025638944863588527;0.0008428237377327552
Japan;JPN;2020-02-11;161;0;9;;;;;-0.08601372360844527;0.011373343238371586;5.204025253745931;5.201587319588503;4.2700632840210595;0.018187417170330525;0.012598563649746515;0.009484858519637332;-0.0008459071410547565;-0.000521447464042392;-0.03131418003496597;0.0004629451551854653;0.07509967568924905;0.00019044122145658505;0.0001942168308278742;0.0009095587004995453;0.00023903567924677302;0.0007801414799521087
Japan;JPN;2020-02-12;203;0;9;0.00461959637735809;0.00341938737599357;0.00304340627221933;0.00737083546507833;-0.10065247871807718;0.011493394536367139;5.289352940523591;5.224436282353566;4.281193498047363;0.016640206172067844;0.011608855895916986;0.009103050244571398;-0.0015213781570913127;-0.0014185943658062722;-0.027278368762142423;-0.00032244505967249555;0.07549099135672213;0.0002548781522968854;0.0002665388568290355;0.0009463221101805398;0.0002858215872432002;0.0008134075438211774
Japan;JPN;2020-02-13;203;1;9;0.00456174835822232;0.00163751826352154;0.0038160787863006397;-0.00140411900591353;-0.11491853881278548;0.01090456406231874;5.337278990769304;5.25733977355506;4.276213696727514;0.017175238930081074;0.011096175724846787;0.009435788946756406;-0.0019033220640569412;-0.0014442028469750896;-0.025735191081172473;-0.000336863819691578;0.07554238328035814;0.00024110532991518865;0.00023189697472817447;0.0008557247910147712;0.00022901057417208364;0.0007889876119456482
Japan;JPN;2020-02-14;247;1;9;-0.00568664558563015;-0.007153837587024371;-0.00763196392380117;-0.00589877245621118;-0.0854559124767232;0.011733032329161544;5.286424328508213;5.270418159207351;4.290882114262129;0.01670127215287603;0.012081761186792665;0.00981540273602371;-0.0015060939330053878;-0.0015564961349262129;-0.02736482754743472;0.0006629657062543916;0.0742379938041239;0.00024245923177953943;0.0002792490293049062;0.0008888853292991439;0.0002826019568521256;0.0008330731798251418
Japan;JPN;2020-02-15;328;1;12;;;;;-0.05221089444679952;0.011298452799869218;5.3198631396101295;5.251276864294249;4.328327767012368;0.017535121466281042;0.012524858443110059;0.008926394124692804;-0.0011484410938903866;-0.0008686439802336025;-0.027820937086060534;0.0006114725083429598;0.075869971009259;0.00019325171031095648;0.00018555653095147115;0.0008556193444448938;0.00021883463570784075;0.0007680628358408148
Japan;JPN;2020-02-16;414;1;12;;;;;0.010811043233082763;0.011633365088003705;5.391968250445728;5.321463282545337;4.301355257339852;0.017090919843300034;0.011904210327922047;0.008726045648908705;-0.0007354037662020053;-7.804805575935435e-05;-0.03278683509066099;0.00023962472487160655;0.07757005787261934;0.0001749536140871335;0.00016112297167176237;0.0008528268578401385;0.00021066477686230016;0.0006989285340648151
Japan;JPN;2020-02-17;520;1;12;-0.00952209598206011;-0.00746041343806425;-0.0113973645875234;-0.00696239712928381;-0.03710616016427113;0.010339142028258676;5.377504632785904;5.316574890283342;4.3283816171636245;0.015405021891313346;0.010655261252590057;0.008329454802003814;-0.0006091911569148935;-0.00043970013297872336;-0.028693314828446604;-1.553413120567516e-06;0.07801957118442147;0.0001462133611751057;0.00013910854048174127;0.0008208688178525967;0.00019924459993802816;0.0007063642349190603
Japan;JPN;2020-02-18;616;1;13;-0.0038904802494563705;-0.00681250979269876;-0.00871072481639601;-0.0141038433423084;-0.048825589340621485;0.009971936536668106;5.282469641905963;5.244592422215153;4.276968992403216;0.014032697622069967;0.00992261840345221;0.008161641093969278;-0.0007529078643951131;-0.0005083384099122353;-0.02808470683924547;0.001415420194458789;0.07428407703891535;0.00015441108364812315;0.00015852568977431345;0.0008501831474984151;0.000230184147729233;0.0006796596317132327
Japan;JPN;2020-02-19;705;1;19;-0.0029635521860225107;0.00283977025580562;0.00437199211097195;0.00888086782066466;-0.061242462146148695;0.009526518603340915;5.271450366982694;5.247108729064761;4.300993578013228;0.013807520716014928;0.009462212575793695;0.008390595244363148;-0.0008947066987222701;-0.000787780816069743;-0.019999379968083233;0.003183455841160004;0.0715457289239242;0.00015511930410843887;0.00015788933954918549;0.0009249803363954664;0.0002577983874795091;0.0007512595812635352
Japan;JPN;2020-02-20;728;3;19;0.0143525591144087;0.0142995195601063;0.008206360589573691;0.0033469068644809107;-0.07564619192688471;0.009990502086129905;5.349088346131305;5.309740649443616;4.258747565429591;0.01471121728200415;0.01014543993158264;0.008680862232482055;-0.0007593635792496861;-0.0006886410877759825;-0.029554963665153377;0.000614956605636331;0.0762287786284429;0.00017128058164332037;0.00015693215117628507;0.0007379138189057747;0.00016587959637115292;0.0006247145795423106
Japan;JPN;2020-02-21;739;3;23;-0.0101418788427061;-0.00919973801082818;-0.0020549136966785397;-0.00394360484912681;-0.08623240161824193;0.009963807158795692;5.344595477447662;5.317315673194715;4.2717887285730995;0.013980387582561399;0.00997769529690879;0.007866495983025695;-0.0009126624510464216;-0.0007027407019381872;-0.03076928671518334;0.0006380772655840769;0.07672110063480024;0.00018243157415490934;0.0001701345946360604;0.0007359778697310107;0.00018378352900088663;0.0006193911107974621
Japan;JPN;2020-02-22;756;3;23;;;;;-0.05862715517241358;0.009782670422876139;5.306796641530961;5.295360532138963;4.27213495635599;0.01421681179428406;0.010522709177013558;0.008170480515819652;-0.0008972738156761413;-0.00039738466838931934;-0.03224188952298882;0.00042617752799310916;0.07527009434764846;0.00017730049737277524;0.00017229955251631089;0.0007316426106169398;0.00020273912251340262;0.0006449744908690086
Japan;JPN;2020-02-23;838;4;22;;;;;-0.09027395044735043;0.009658005949537156;5.248327873890229;5.257238700323946;4.31522787580476;0.015480605215451264;0.010698812333345695;0.007830665782763835;-0.0009978918473570663;-0.000596751415857605;-0.03059476376097977;0.00078066299352751;0.07393544611969688;0.00016322296382074067;0.0001648350778137203;0.0007307540018112212;0.0002160159536760875;0.0007074555050742247
Japan;JPN;2020-02-24;850;4;22;;;;;-0.11364766639049957;0.008501292983535396;5.308326120358083;5.302533407983859;4.2888064566521225;0.011870085475482007;0.008524857829343676;0.006892112140628306;-0.0010197257901227753;-0.0005789369282308979;-0.03259682448598332;0.0005674711469435096;0.07486904536560156;0.00015416687090658954;0.0001484797197198511;0.0006411129706494049;0.00016727544791982608;0.0005789747064438189
Japan;JPN;2020-02-25;861;4;22;-0.0206316031285958;-0.0274334792381694;-0.0456451292180127;-0.0339799400231549;-0.102361095821866;0.008071493237540936;5.330270412241805;5.3297245167590095;4.252127319719394;0.011197663820890035;0.008085721485741118;0.0066985282855308295;-0.0011106009495743287;-0.000619178978388998;-0.030309943405922985;0.0003245081716973268;0.07453272106312699;0.00015908434041881739;0.00014575623580001526;0.0006454973039353573;0.00016736629023711357;0.0005830736661291806
Japan;JPN;2020-02-26;894;6;32;-0.0253845921170637;-0.0217456127998563;-0.00934683912112888;-0.0079598171426678;-0.06506275;0.00881520738092693;5.351455761276285;5.321192090563105;4.303121907180709;0.012003892395380562;0.008677296183336448;0.007318136519711409;-0.0011419179432624123;-0.0003857047517730493;-0.03219952975734561;6.285218237082036e-05;0.07540060238991159;0.00020305989748542477;0.00017399492909395245;0.0006661451943426846;0.0001858177776761483;0.0005721013224333264
Japan;JPN;2020-02-27;919;8;32;;;;;-0.0006560100466450495;0.010209322183583048;5.385662034511024;5.343350129013956;4.2688030626870015;0.014146667735386923;0.010171583082530621;0.00785707822439775;-0.0013191617359630408;-0.0013315672441364613;-0.03089681279444577;-0.00022176424129353276;0.07184971735309233;0.00026672230305450646;0.00023727021299131044;0.0007483325106971279;0.0002261586929144994;0.0007199411577275019
