geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
qqxcf,-8.1,112.3,3.0,2.0,14.0,8.0,21.0,3.0,4.0,1.0,3.0
qqxcg,-8.1,112.3,1.0,4.0,17.0,26.0,20.0,6.0,2.0,5.0,1.0
qqxcs,-8.2,112.3,1.0,1.0,1.0,4.0,1.0,3.0,1.0,,
qqxct,-8.2,112.4,2.0,,3.0,1.0,4.0,1.0,2.0,1.0,2.0
qqxcx,-8.2,112.5,13.0,9.0,49.0,43.0,40.0,26.0,42.0,32.0,43.0
qqxcz,-8.1,112.5,2.0,,8.0,1.0,,,2.0,2.0,3.0
qqxd0,-8.1,111.8,5.0,6.0,25.0,378.0,15.0,8.0,14.0,7.0,2.0
qqxd1,-8.1,111.9,57.0,6.0,59.0,26.0,24.0,24.0,18.0,6.0,8.0
qqxd3,-8.0,111.9,1.0,1.0,12.0,28.0,19.0,7.0,93.0,197.0,187.0
qqxd4,-8.1,111.9,236.0,345.0,1596.0,1373.0,1537.0,1204.0,982.0,833.0,1198.0
qqxd5,-8.1,112.0,3.0,7.0,11.0,1.0,2.0,2.0,,2.0,
qqxde,-8.0,112.0,2.0,3.0,11.0,3.0,2.0,7.0,13.0,41.0,4.0
qqxdj,-8.1,112.0,1.0,9.0,26.0,144.0,55.0,103.0,60.0,87.0,10.0
qqxdm,-8.0,112.0,1.0,,7.0,19.0,12.0,4.0,5.0,6.0,3.0
qqxdn,-8.1,112.1,2.0,17.0,31.0,24.0,4.0,1.0,1.0,11.0,1.0
qqxdu,-7.9,112.0,5.0,17.0,51.0,7.0,7.0,13.0,5.0,4.0,3.0
qqxe1,-7.9,111.9,1.0,,,4.0,7.0,5.0,,,1.0
qqxe6,-7.8,111.9,1.0,1.0,2.0,8.0,13.0,1.0,3.0,19.0,1.0
qqxe7,-7.8,112.0,4.0,1.0,,,2.0,1.0,,,1.0
qqxeg,-7.8,112.0,2.0,1.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0
qqxeh,-7.9,112.0,1.0,1.0,46.0,33.0,23.0,2.0,16.0,41.0,30.0
qqxek,-7.8,112.0,547.0,491.0,3378.0,2772.0,3157.0,1725.0,1572.0,1284.0,1615.0
qqxem,-7.8,112.0,104.0,95.0,704.0,571.0,608.0,394.0,358.0,372.0,429.0
qqxen,-7.9,112.1,1.0,1.0,6.0,2.0,17.0,,3.0,3.0,5.0
