geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
spv3r,43.8,7.7,2.0,1.0,5.0,8.0,14.0,23.0,8.0,9.0,3.0
spv3t,43.9,7.6,28.0,14.0,34.0,10.0,29.0,31.0,46.0,26.0,3.0
spv3w,43.9,7.7,1.0,3.0,3.0,6.0,2.0,4.0,6.0,2.0,
spv3y,43.9,7.7,15.0,17.0,27.0,12.0,6.0,2.0,11.0,20.0,
spv3z,43.9,7.7,9.0,53.0,176.0,56.0,,,,5.0,5.0
spv5e,44.2,7.2,13.0,74.0,77.0,39.0,17.0,11.0,16.0,27.0,4.0
spv6r,44.0,7.7,7.0,1.0,1.0,,,,1.0,1.0,
spv78,44.2,7.4,2.0,,,,,,,,
spv7e,44.2,7.5,4.0,3.0,10.0,2.0,3.0,,1.0,,1.0
spv90,43.8,7.8,3.0,17.0,24.0,12.0,8.0,1.0,3.0,6.0,1.0
spv92,43.8,7.8,3.0,40.0,160.0,62.0,73.0,32.0,26.0,51.0,15.0
spv93,43.8,7.8,7.0,50.0,82.0,67.0,60.0,36.0,32.0,33.0,8.0
spv96,43.8,7.8,13.0,26.0,70.0,42.0,48.0,74.0,56.0,66.0,21.0
spv9d,43.9,7.8,2.0,16.0,13.0,14.0,9.0,4.0,2.0,1.0,
spv9k,43.8,7.9,2.0,9.0,5.0,,2.0,,,1.0,
spv9u,43.9,7.9,10.0,14.0,29.0,29.0,72.0,65.0,87.0,66.0,16.0
spv9w,43.9,8.0,30.0,277.0,497.0,437.0,455.0,210.0,163.0,177.0,48.0
spv9y,43.9,8.0,7.0,10.0,49.0,48.0,78.0,96.0,61.0,60.0,8.0
spv9z,43.9,8.1,142.0,32.0,179.0,254.0,182.0,75.0,3.0,15.0,4.0
spvcb,43.9,8.1,2.0,,2.0,,,,7.0,,
spvd1,44.0,7.8,260.0,544.0,1291.0,1057.0,789.0,694.0,750.0,788.0,202.0
spvd2,44.0,7.8,5.0,6.0,9.0,3.0,21.0,18.0,5.0,11.0,2.0
spvd4,44.0,7.8,2.0,,4.0,1.0,1.0,,2.0,,1.0
spvd7,44.0,7.9,3.0,9.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0
spvd8,44.1,7.8,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,
spvdf,44.1,7.8,1.0,3.0,,1.0,1.0,1.0,1.0,,
spvdh,44.0,7.9,1.0,,1.0,,,,,,
spvdj,44.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,
spvdm,44.0,8.0,52.0,16.0,27.0,4.0,3.0,2.0,14.0,5.0,2.0
spvdq,44.0,8.0,12.0,69.0,44.0,6.0,,,2.0,,
spvdr,44.0,8.1,1.0,,10.0,3.0,12.0,3.0,3.0,1.0,
spvdu,44.1,7.9,6.0,12.0,23.0,8.0,5.0,3.0,6.0,6.0,
spve8,44.2,7.8,7.0,11.0,11.0,9.0,7.0,7.0,4.0,2.0,1.0
spveb,44.3,7.8,2.0,21.0,45.0,32.0,26.0,22.0,9.0,13.0,23.0
spvek,44.2,7.9,6.0,19.0,8.0,3.0,,1.0,,,
spvem,44.2,8.0,15.0,6.0,21.0,11.0,19.0,14.0,16.0,6.0,1.0
spveq,44.2,8.0,2.0,6.0,18.0,4.0,6.0,5.0,4.0,2.0,
spvev,44.3,8.0,1.0,,5.0,1.0,3.0,2.0,,1.0,1.0
spvf1,44.0,8.2,1.0,16.0,10.0,10.0,19.0,5.0,4.0,6.0,2.0
spvf9,44.1,8.2,2.0,23.0,19.0,5.0,6.0,2.0,9.0,3.0,1.0
spvfb,44.1,8.1,7.0,13.0,6.0,2.0,4.0,2.0,1.0,3.0,1.0
spvfd,44.1,8.2,18.0,76.0,118.0,28.0,24.0,35.0,27.0,12.0,9.0
spvfg,44.1,8.2,26.0,38.0,113.0,129.0,87.0,71.0,94.0,51.0,14.0
spvg4,44.1,8.2,5.0,59.0,58.0,43.0,42.0,19.0,3.0,8.0,6.0
spvg5,44.1,8.2,1.0,5.0,8.0,,,5.0,4.0,32.0,
spvgf,44.3,8.2,1.0,,,,,,,,
spvgh,44.1,8.3,10.0,50.0,99.0,45.0,23.0,14.0,24.0,23.0,8.0
spvgk,44.2,8.3,9.0,18.0,58.0,31.0,13.0,21.0,15.0,14.0,3.0
spvgq,44.2,8.4,16.0,118.0,97.0,64.0,49.0,33.0,23.0,38.0,8.0
spvgs,44.2,8.3,11.0,97.0,147.0,238.0,156.0,124.0,194.0,408.0,78.0
spvgt,44.2,8.3,4.0,9.0,27.0,15.0,9.0,5.0,14.0,6.0,1.0
spvgu,44.3,8.3,7.0,1.0,7.0,2.0,9.0,4.0,5.0,1.0,
spvgy,44.3,8.4,3.0,2.0,2.0,1.0,4.0,2.0,5.0,4.0,
spvgz,44.3,8.4,5.0,48.0,89.0,49.0,25.0,21.0,11.0,38.0,7.0
spvhz,44.5,7.4,2.0,8.0,6.0,6.0,7.0,14.0,3.0,4.0,4.0
spvje,44.6,7.2,2.0,5.0,19.0,26.0,17.0,6.0,1.0,5.0,3.0
spvjn,44.5,7.3,14.0,2.0,7.0,3.0,,1.0,,,
spvjt,44.6,7.3,4.0,71.0,380.0,365.0,342.0,245.0,289.0,295.0,138.0
spvk0,44.3,7.4,11.0,10.0,31.0,11.0,12.0,13.0,19.0,20.0,6.0
spvk4,44.3,7.5,1.0,11.0,28.0,11.0,14.0,13.0,3.0,16.0,2.0
spvk5,44.3,7.5,4.0,34.0,42.0,20.0,22.0,8.0,10.0,2.0,2.0
spvk7,44.4,7.5,1.0,1.0,2.0,1.0,12.0,16.0,7.0,6.0,1.0
spvkc,44.5,7.4,2.0,1.0,5.0,,,,1.0,,
spvke,44.4,7.5,89.0,566.0,875.0,624.0,459.0,386.0,408.0,579.0,122.0
spvkh,44.3,7.6,1.0,1.0,50.0,34.0,39.0,15.0,4.0,19.0,4.0
spvkj,44.3,7.6,29.0,151.0,165.0,155.0,130.0,127.0,132.0,26.0,2.0
spvm0,44.5,7.4,9.0,90.0,132.0,88.0,73.0,51.0,50.0,88.0,21.0
spvm4,44.5,7.5,20.0,120.0,83.0,69.0,80.0,71.0,99.0,104.0,29.0
spvmb,44.6,7.4,1.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,
spvmf,44.6,7.5,19.0,123.0,188.0,165.0,95.0,69.0,50.0,131.0,14.0
spvmh,44.5,7.6,1.0,45.0,35.0,25.0,24.0,9.0,19.0,25.0,5.0
spvmk,44.5,7.6,4.0,50.0,39.0,25.0,17.0,8.0,3.0,9.0,7.0
spvmp,44.5,7.7,1.0,32.0,38.0,8.0,4.0,7.0,5.0,7.0,
spvmr,44.5,7.7,7.0,57.0,119.0,72.0,49.0,59.0,36.0,41.0,12.0
spvmv,44.6,7.6,1.0,2.0,,1.0,,,,,
spvmw,44.6,7.7,5.0,42.0,48.0,22.0,30.0,18.0,21.0,44.0,6.0
spvmy,44.6,7.7,6.0,12.0,42.0,28.0,16.0,9.0,6.0,19.0,1.0
spvnp,44.7,7.4,4.0,7.0,20.0,90.0,26.0,9.0,4.0,4.0,1.0
spvnq,44.7,7.3,4.0,1.0,1.0,5.0,1.0,,,2.0,2.0
spvnr,44.7,7.4,56.0,113.0,624.0,732.0,631.0,579.0,715.0,499.0,95.0
spvnu,44.8,7.2,3.0,23.0,26.0,20.0,9.0,4.0,9.0,19.0,2.0
spvnv,44.8,7.3,1.0,3.0,9.0,10.0,5.0,2.0,2.0,3.0,3.0
spvny,44.8,7.3,215.0,297.0,389.0,452.0,295.0,400.0,422.0,322.0,92.0
spvp9,44.9,7.1,1.0,,5.0,3.0,4.0,4.0,18.0,9.0,
spvpe,44.9,7.2,1.0,,3.0,10.0,9.0,,2.0,2.0,
spvpf,45.0,7.1,5.0,8.0,56.0,25.0,15.0,22.0,18.0,15.0,2.0
spvpg,45.0,7.2,14.0,115.0,191.0,189.0,154.0,50.0,39.0,53.0,12.0
spvpk,44.9,7.2,2.0,3.0,2.0,2.0,6.0,6.0,5.0,6.0,
spvpm,44.9,7.3,22.0,44.0,165.0,59.0,61.0,116.0,93.0,72.0,23.0
spvpn,44.8,7.3,147.0,788.0,1425.0,1131.0,1027.0,886.0,748.0,916.0,272.0
spvpp,44.8,7.4,1.0,2.0,10.0,15.0,22.0,19.0,18.0,30.0,
spvpq,44.9,7.3,63.0,357.0,821.0,591.0,521.0,540.0,821.0,595.0,133.0
spvps,44.9,7.2,8.0,33.0,104.0,69.0,58.0,87.0,71.0,60.0,23.0
spvpw,44.9,7.3,4.0,104.0,90.0,51.0,41.0,17.0,19.0,44.0,4.0
spvpx,44.9,7.4,2.0,,,,,,,,
spvpz,45.0,7.4,2.0,12.0,23.0,13.0,19.0,19.0,19.0,10.0,6.0
spvq0,44.7,7.4,8.0,7.0,31.0,43.0,60.0,82.0,103.0,88.0,27.0
spvqc,44.8,7.4,6.0,9.0,19.0,15.0,8.0,,10.0,13.0,4.0
spvqd,44.8,7.5,6.0,4.0,1.0,,1.0,,2.0,,
spvqx,44.8,7.7,1.0,3.0,,,,,,,
spvr4,44.8,7.5,11.0,122.0,103.0,70.0,98.0,58.0,81.0,135.0,41.0
spvr8,44.9,7.4,5.0,28.0,53.0,43.0,30.0,39.0,53.0,41.0,13.0
spvr9,44.9,7.4,1.0,1.0,5.0,4.0,7.0,3.0,4.0,2.0,2.0
spvrb,45.0,7.4,1.0,,,,1.0,,,3.0,1.0
spvrd,44.9,7.5,5.0,19.0,27.0,10.0,12.0,52.0,20.0,13.0,7.0
spvre,44.9,7.5,1099.0,1947.0,6100.0,6179.0,5796.0,5557.0,6045.0,5181.0,1422.0
spvrf,45.0,7.5,1.0,12.0,30.0,15.0,23.0,67.0,79.0,85.0,23.0
spvrj,44.8,7.6,3.0,6.0,33.0,6.0,8.0,14.0,6.0,3.0,1.0
spvrk,44.9,7.6,1.0,1.0,2.0,,,,1.0,,
spvrp,44.8,7.7,7.0,73.0,78.0,56.0,68.0,31.0,48.0,38.0,10.0
spvrq,44.9,7.7,2.0,1.0,20.0,13.0,10.0,9.0,17.0,7.0,2.0
spvrt,44.9,7.6,19.0,20.0,83.0,30.0,35.0,18.0,14.0,19.0,5.0
spvrv,45.0,7.6,21.0,36.0,27.0,12.0,7.0,11.0,4.0,8.0,9.0
spvry,45.0,7.7,13.0,196.0,179.0,41.0,35.0,20.0,16.0,24.0,8.0
spvrz,45.0,7.7,1.0,23.0,47.0,41.0,14.0,48.0,25.0,42.0,1.0
spvs0,44.3,7.8,1.0,1.0,6.0,1.0,1.0,1.0,,,2.0
spvs2,44.4,7.8,1.0,2.0,8.0,1.0,4.0,,1.0,4.0,
spvs6,44.4,7.8,2.0,8.0,10.0,9.0,7.0,1.0,2.0,2.0,
spvs9,44.4,7.8,5.0,53.0,102.0,77.0,82.0,72.0,45.0,45.0,14.0
spvsd,44.4,7.8,2.0,,1.0,2.0,4.0,12.0,,12.0,8.0
spvsq,44.4,8.0,1.0,,2.0,1.0,1.0,1.0,,,1.0
spvsw,44.4,8.0,2.0,25.0,39.0,11.0,21.0,19.0,20.0,11.0,2.0
spvsx,44.4,8.1,2.0,22.0,15.0,,,,,1.0,
spvt5,44.5,7.9,37.0,33.0,111.0,43.0,105.0,85.0,106.0,211.0,117.0
spvt6,44.5,7.8,6.0,22.0,37.0,61.0,18.0,6.0,17.0,44.0,15.0
spvtn,44.5,8.0,1.0,11.0,79.0,43.0,21.0,,2.0,3.0,
spvtt,44.6,8.0,5.0,30.0,42.0,43.0,33.0,33.0,25.0,18.0,4.0
spvtv,44.6,8.0,2.0,2.0,5.0,2.0,3.0,2.0,,,
spvu3,44.4,8.2,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,
spvu9,44.4,8.2,2.0,,,,,,,,
spvub,44.5,8.1,1.0,2.0,2.0,2.0,,2.0,,3.0,
spvuk,44.4,8.3,2.0,,5.0,5.0,5.0,14.0,10.0,21.0,5.0
spvup,44.3,8.4,9.0,61.0,290.0,37.0,92.0,36.0,31.0,79.0,2.0
spvus,44.4,8.3,66.0,216.0,90.0,88.0,4.0,1.0,1.0,1.0,1.0
spvut,44.4,8.3,1.0,4.0,1.0,,1.0,1.0,,53.0,
spvuv,44.5,8.3,4.0,6.0,3.0,2.0,4.0,1.0,3.0,8.0,2.0
spvuz,44.5,8.4,1.0,10.0,9.0,12.0,3.0,1.0,,,1.0
spvvb,44.6,8.1,1.0,,1.0,,1.0,3.0,,,1.0
spvvt,44.6,8.3,1.0,10.0,20.0,17.0,14.0,13.0,5.0,32.0,10.0
