geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
et57e,28.8,-17.8,16.0,6.0,33.0,28.0,41.0,18.0,11.0,11.0,13.0
et57g,28.8,-17.8,9.0,34.0,84.0,54.0,55.0,47.0,30.0,74.0,36.0
et58m,28.2,-17.3,1.0,11.0,37.0,35.0,26.0,18.0,14.0,7.0,5.0
et58p,28.1,-17.2,2.0,3.0,24.0,30.0,18.0,14.0,14.0,19.0,6.0
et5b2,28.2,-17.2,3.0,9.0,9.0,13.0,12.0,5.0,4.0,15.0,4.0
et5cr,28.4,-16.9,1.0,,,,,,,,
et5hp,28.9,-18.0,1.0,20.0,15.0,6.0,8.0,6.0,6.0,1.0,5.0
et5k0,28.9,-17.9,4.0,26.0,58.0,72.0,81.0,90.0,53.0,24.0,23.0
et5k4,28.9,-17.8,2.0,35.0,289.0,64.0,120.0,52.0,105.0,231.0,27.0
eth03,28.2,-16.8,4.0,6.0,17.0,25.0,40.0,33.0,17.0,15.0,6.0
eth04,28.1,-16.8,3.0,4.0,69.0,69.0,85.0,70.0,44.0,84.0,57.0
eth05,28.1,-16.7,26.0,125.0,49.0,32.0,100.0,20.0,26.0,65.0,24.0
eth06,28.2,-16.8,2.0,15.0,68.0,95.0,101.0,114.0,85.0,89.0,35.0
eth07,28.2,-16.7,1.0,3.0,15.0,11.0,5.0,12.0,12.0,13.0,
eth0c,28.3,-16.8,4.0,7.0,12.0,6.0,48.0,48.0,36.0,53.0,8.0
eth0f,28.3,-16.8,3.0,9.0,9.0,2.0,1.0,,2.0,3.0,
eth0j,28.1,-16.6,45.0,412.0,417.0,76.0,68.0,76.0,60.0,58.0,30.0
eth0p,28.1,-16.5,7.0,5.0,4.0,13.0,5.0,3.0,9.0,18.0,5.0
eth0t,28.2,-16.6,1.0,6.0,12.0,,,1.0,1.0,1.0,
eth0v,28.3,-16.6,8.0,13.0,29.0,9.0,14.0,5.0,6.0,4.0,1.0
eth0z,28.3,-16.5,48.0,256.0,339.0,229.0,269.0,155.0,174.0,239.0,136.0
eth10,28.3,-16.9,1.0,5.0,7.0,40.0,5.0,3.0,4.0,17.0,5.0
eth12,28.4,-16.9,5.0,27.0,25.0,38.0,11.0,14.0,16.0,26.0,9.0
eth13,28.4,-16.8,153.0,502.0,879.0,676.0,908.0,762.0,474.0,698.0,332.0
eth14,28.3,-16.8,10.0,56.0,12.0,2.0,3.0,4.0,2.0,,1.0
eth17,28.4,-16.7,20.0,72.0,142.0,123.0,161.0,116.0,98.0,136.0,52.0
eth1k,28.4,-16.7,9.0,23.0,107.0,86.0,60.0,69.0,74.0,76.0,46.0
eth1m,28.4,-16.6,10.0,23.0,62.0,34.0,36.0,26.0,21.0,53.0,22.0
eth1n,28.3,-16.6,1.0,14.0,30.0,12.0,13.0,12.0,29.0,37.0,5.0
eth1q,28.4,-16.6,8.0,18.0,39.0,46.0,62.0,16.0,11.0,28.0,7.0
eth1t,28.4,-16.6,1.0,9.0,38.0,54.0,23.0,10.0,25.0,15.0,15.0
eth1w,28.4,-16.6,65.0,169.0,374.0,286.0,208.0,151.0,142.0,163.0,74.0
eth1x,28.4,-16.5,76.0,251.0,733.0,849.0,763.0,620.0,465.0,622.0,321.0
eth20,28.1,-16.5,4.0,34.0,62.0,53.0,37.0,28.0,14.0,33.0,17.0
eth21,28.1,-16.5,1.0,,2.0,1.0,4.0,1.0,1.0,4.0,3.0
eth29,28.2,-16.5,9.0,30.0,40.0,27.0,27.0,30.0,55.0,43.0,8.0
eth2f,28.3,-16.4,7.0,50.0,55.0,22.0,31.0,20.0,10.0,25.0,15.0
eth32,28.4,-16.5,6.0,9.0,26.0,19.0,12.0,15.0,14.0,12.0,7.0
eth34,28.3,-16.4,57.0,328.0,230.0,248.0,187.0,95.0,41.0,65.0,36.0
eth35,28.3,-16.4,17.0,34.0,75.0,67.0,86.0,75.0,85.0,98.0,67.0
eth36,28.4,-16.4,1.0,,4.0,7.0,3.0,2.0,5.0,7.0,
eth37,28.4,-16.4,8.0,70.0,173.0,81.0,116.0,49.0,85.0,71.0,34.0
eth38,28.4,-16.5,43.0,267.0,700.0,862.0,875.0,665.0,425.0,566.0,258.0
eth39,28.4,-16.5,3.0,7.0,13.0,9.0,2.0,,2.0,14.0,2.0
eth3b,28.5,-16.5,7.0,10.0,28.0,40.0,19.0,30.0,11.0,6.0,2.0
eth3c,28.5,-16.5,11.0,22.0,29.0,58.0,100.0,88.0,96.0,99.0,33.0
eth3e,28.4,-16.4,4.0,13.0,34.0,12.0,18.0,10.0,7.0,8.0,4.0
eth3f,28.5,-16.4,36.0,64.0,288.0,315.0,291.0,241.0,195.0,242.0,122.0
eth3g,28.5,-16.4,23.0,63.0,193.0,144.0,120.0,132.0,87.0,91.0,60.0
eth3s,28.4,-16.3,7.0,23.0,76.0,120.0,76.0,93.0,96.0,270.0,190.0
eth3u,28.5,-16.3,121.0,175.0,415.0,364.0,420.0,407.0,451.0,637.0,294.0
eth3v,28.5,-16.3,2109.0,6958.0,15735.0,12553.0,12201.0,10624.0,10240.0,13963.0,6955.0
eth3y,28.5,-16.2,275.0,697.0,1183.0,941.0,985.0,749.0,620.0,816.0,454.0
eth64,28.5,-16.4,3.0,8.0,31.0,17.0,24.0,19.0,8.0,16.0,7.0
eth65,28.5,-16.4,5.0,7.0,40.0,85.0,57.0,62.0,37.0,45.0,14.0
eth66,28.5,-16.4,1.0,5.0,6.0,6.0,1.0,2.0,2.0,2.0,1.0
eth67,28.5,-16.4,3.0,12.0,26.0,10.0,25.0,10.0,5.0,12.0,9.0
eth6h,28.5,-16.3,630.0,1459.0,3713.0,3004.0,2776.0,2112.0,1880.0,2414.0,1277.0
eth6j,28.5,-16.3,42.0,86.0,177.0,105.0,148.0,74.0,95.0,87.0,60.0
eth6k,28.5,-16.3,39.0,137.0,193.0,178.0,208.0,108.0,110.0,210.0,85.0
eth6m,28.5,-16.3,10.0,25.0,45.0,23.0,45.0,35.0,9.0,8.0,7.0
eth6n,28.5,-16.2,24.0,248.0,1024.0,923.0,547.0,190.0,269.0,843.0,627.0
eth6q,28.5,-16.2,59.0,132.0,448.0,527.0,434.0,390.0,340.0,243.0,123.0
ethb4,28.1,-15.7,1.0,,3.0,1.0,3.0,1.0,,2.0,
ethb5,28.1,-15.7,85.0,234.0,373.0,303.0,286.0,298.0,333.0,562.0,228.0
ethbh,28.1,-15.6,14.0,9.0,62.0,35.0,33.0,31.0,47.0,63.0,23.0
ethbj,28.1,-15.6,1.0,2.0,12.0,1.0,,3.0,,,
ethbn,28.1,-15.5,19.0,92.0,450.0,878.0,604.0,283.0,305.0,251.0,127.0
ethbp,28.1,-15.5,2.0,1.0,2.0,1.0,,1.0,,,
ethd2,28.5,-16.1,1.0,4.0,6.0,1.0,1.0,1.0,3.0,5.0,4.0
etj00,28.1,-15.4,3076.0,10277.0,24488.0,19853.0,20679.0,16670.0,13968.0,22592.0,11665.0
etj01,28.1,-15.4,34.0,80.0,135.0,56.0,50.0,28.0,29.0,27.0,21.0
etn0b,28.3,-14.0,6.0,8.0,8.0,4.0,3.0,33.0,6.0,4.0,1.0
etn10,28.3,-14.0,8.0,29.0,28.0,10.0,3.0,5.0,38.0,60.0,51.0
etn11,28.3,-14.0,181.0,682.0,1574.0,1455.0,1301.0,1009.0,926.0,1191.0,780.0
etn16,28.4,-14.0,1.0,8.0,32.0,24.0,3.0,56.0,1.0,213.0,8.0
etn1k,28.4,-13.9,4.0,8.0,39.0,57.0,31.0,21.0,22.0,14.0,7.0
etn1s,28.4,-13.9,3.0,8.0,58.0,29.0,17.0,9.0,5.0,12.0,5.0
etn1u,28.5,-13.9,1.0,13.0,59.0,6.0,5.0,7.0,8.0,2.0,1.0
etn44,28.5,-14.0,2.0,19.0,35.0,34.0,29.0,37.0,47.0,30.0,17.0
etn46,28.5,-14.0,2.0,2.0,24.0,8.0,,2.0,5.0,1.0,3.0
etn47,28.5,-13.9,5.0,7.0,16.0,3.0,1.0,1.0,2.0,5.0,3.0
etn49,28.6,-14.0,31.0,51.0,190.0,141.0,208.0,266.0,257.0,295.0,213.0
etn4g,28.6,-13.9,12.0,1.0,17.0,15.0,8.0,11.0,12.0,11.0,7.0
etn4h,28.5,-13.9,73.0,316.0,640.0,610.0,795.0,610.0,401.0,592.0,276.0
etn4s,28.6,-13.9,1.0,,,,,,,,
etn55,28.7,-13.9,9.0,29.0,117.0,161.0,34.0,19.0,18.0,14.0,4.0
etn5k,28.7,-13.9,47.0,116.0,436.0,695.0,394.0,128.0,145.0,143.0,94.0
etnhj,28.9,-13.8,11.0,23.0,73.0,97.0,111.0,85.0,73.0,90.0,71.0
etnhw,28.9,-13.8,2.0,5.0,30.0,18.0,29.0,26.0,23.0,35.0,18.0
etnk9,28.9,-13.6,3.0,8.0,9.0,3.0,5.0,23.0,13.0,12.0,6.0
etnkb,29.0,-13.7,6.0,11.0,14.0,5.0,12.0,15.0,17.0,18.0,12.0
etnkc,29.0,-13.6,5.0,1.0,23.0,12.0,12.0,10.0,15.0,39.0,11.0
etnkd,28.9,-13.6,12.0,10.0,72.0,95.0,88.0,91.0,89.0,61.0,42.0
etnkf,29.0,-13.6,11.0,25.0,80.0,58.0,46.0,28.0,41.0,77.0,25.0
etnkg,29.0,-13.6,21.0,86.0,280.0,272.0,306.0,237.0,331.0,339.0,91.0
etnku,29.0,-13.5,12.0,53.0,81.0,48.0,34.0,34.0,27.0,41.0,23.0
etnm1,29.0,-13.6,1.0,9.0,,6.0,3.0,,1.0,,
etnm2,29.1,-13.7,1.0,8.0,27.0,49.0,75.0,19.0,26.0,29.0,9.0
etnm5,29.0,-13.6,8.0,5.0,7.0,11.0,12.0,8.0,4.0,7.0,
etnm7,29.1,-13.6,3.0,11.0,27.0,37.0,46.0,42.0,63.0,50.0,31.0
etnme,29.1,-13.6,3.0,31.0,91.0,88.0,67.0,30.0,30.0,36.0,22.0
etnmk,29.1,-13.5,2.0,8.0,20.0,8.0,25.0,6.0,11.0,3.0,2.0
ey7tz,36.2,-6.0,4.0,13.0,28.0,20.0,19.0,17.0,13.0,11.0,9.0
ey7vc,36.2,-5.9,81.0,244.0,731.0,398.0,364.0,359.0,325.0,483.0,327.0
ey7vd,36.1,-5.9,7.0,30.0,62.0,47.0,70.0,81.0,109.0,126.0,89.0
ey7vm,36.1,-5.7,10.0,31.0,76.0,47.0,43.0,24.0,18.0,16.0,21.0
ey7vq,36.1,-5.7,1.0,1.0,2.0,4.0,1.0,1.0,4.0,,
ey7vw,36.1,-5.7,1.0,7.0,8.0,5.0,10.0,2.0,3.0,7.0,6.0
ey7wm,36.3,-6.1,169.0,189.0,663.0,586.0,538.0,478.0,426.0,547.0,237.0
ey7wq,36.3,-6.0,34.0,44.0,428.0,301.0,339.0,267.0,252.0,427.0,155.0
ey7ws,36.3,-6.1,2.0,1.0,15.0,16.0,27.0,,4.0,10.0,3.0
ey7x5,36.4,-6.2,1.0,2.0,14.0,7.0,8.0,8.0,6.0,10.0,189.0
ey7x6,36.5,-6.2,585.0,1886.0,5864.0,3985.0,4041.0,3593.0,3224.0,3064.0,16056.0
ey7x9,36.5,-6.3,174.0,437.0,1121.0,985.0,810.0,592.0,486.0,579.0,319.0
ey7xb,36.5,-6.3,2610.0,8776.0,22310.0,17615.0,18067.0,14160.0,13695.0,16001.0,9138.0
ey7xc,36.5,-6.3,2.0,12.0,21.0,26.0,26.0,26.0,21.0,28.0,17.0
ey7xf,36.5,-6.2,69.0,290.0,670.0,461.0,414.0,373.0,318.0,418.0,270.0
ey7xg,36.5,-6.2,2.0,5.0,13.0,13.0,4.0,4.0,5.0,2.0,5.0
ey7xh,36.4,-6.1,179.0,509.0,1102.0,692.0,730.0,663.0,509.0,637.0,384.0
ey7xj,36.4,-6.1,11.0,33.0,48.0,79.0,670.0,64.0,181.0,216.0,84.0
ey7xk,36.5,-6.1,3.0,9.0,10.0,1.0,3.0,2.0,77.0,132.0,55.0
ey7xs,36.5,-6.1,1.0,3.0,11.0,1.0,3.0,1.0,2.0,2.0,1.0
ey7xu,36.5,-6.1,1.0,11.0,64.0,54.0,51.0,45.0,14.0,17.0,10.0
ey7y0,36.2,-6.0,15.0,82.0,226.0,251.0,234.0,170.0,150.0,193.0,105.0
ey7y2,36.3,-6.0,2.0,3.0,10.0,7.0,3.0,5.0,4.0,25.0,10.0
ey7yg,36.4,-5.8,8.0,27.0,59.0,24.0,38.0,17.0,20.0,35.0,23.0
ey7z3,36.5,-5.9,26.0,87.0,222.0,96.0,110.0,92.0,124.0,135.0,94.0
ey7zf,36.5,-5.9,4.0,13.0,40.0,8.0,14.0,18.0,20.0,34.0,24.0
ey7zm,36.5,-5.7,9.0,42.0,153.0,89.0,34.0,20.0,31.0,67.0,34.0
ey7zt,36.5,-5.7,14.0,27.0,57.0,98.0,109.0,80.0,45.0,60.0,56.0
ey7zu,36.5,-5.8,1.0,5.0,13.0,16.0,8.0,8.0,1.0,19.0,5.0
eydex,37.2,-7.4,77.0,279.0,743.0,460.0,482.0,418.0,360.0,416.0,283.0
eydg9,37.2,-7.3,73.0,280.0,436.0,200.0,217.0,247.0,151.0,229.0,134.0
eydge,37.2,-7.2,6.0,26.0,28.0,25.0,55.0,31.0,36.0,42.0,39.0
eydgf,37.2,-7.3,2.0,6.0,49.0,53.0,46.0,51.0,56.0,115.0,15.0
eydgg,37.2,-7.2,1.0,2.0,2.0,2.0,,,1.0,3.0,3.0
eydgt,37.2,-7.1,1.0,2.0,23.0,20.0,8.0,10.0,3.0,11.0,1.0
eydgu,37.2,-7.2,27.0,176.0,404.0,265.0,179.0,243.0,204.0,227.0,153.0
eydgx,37.2,-7.1,1.0,6.0,27.0,15.0,11.0,11.0,10.0,10.0,12.0
eydgy,37.2,-7.1,1.0,,1.0,2.0,1.0,,,1.0,1.0
eydtm,37.5,-7.5,1.0,9.0,25.0,24.0,15.0,22.0,15.0,5.0,8.0
eydtr,37.5,-7.4,6.0,11.0,36.0,56.0,52.0,50.0,31.0,9.0,13.0
eydu0,37.3,-7.4,3.0,13.0,37.0,34.0,27.0,24.0,37.0,25.0,11.0
eydu5,37.3,-7.2,2.0,5.0,4.0,2.0,1.0,1.0,,,
eydu8,37.4,-7.4,1.0,1.0,11.0,7.0,4.0,5.0,3.0,4.0,3.0
eyduh,37.3,-7.2,1.0,16.0,41.0,14.0,20.0,32.0,85.0,137.0,26.0
eyduj,37.3,-7.1,12.0,43.0,114.0,96.0,217.0,81.0,40.0,59.0,29.0
eydv3,37.5,-7.3,3.0,7.0,18.0,9.0,11.0,15.0,8.0,5.0,
eydv6,37.5,-7.3,1.0,11.0,40.0,20.0,18.0,8.0,10.0,19.0,17.0
eydvg,37.6,-7.2,1.0,3.0,,5.0,5.0,3.0,3.0,3.0,
eydvn,37.5,-7.1,2.0,16.0,32.0,23.0,51.0,35.0,22.0,22.0,14.0
eydvv,37.6,-7.1,5.0,9.0,31.0,18.0,12.0,9.0,8.0,10.0,8.0
eydzg,37.9,-7.2,5.0,6.0,10.0,11.0,,1.0,2.0,1.0,3.0
eydzh,37.8,-7.2,1.0,4.0,15.0,10.0,18.0,22.0,10.0,5.0,7.0
eye2r,36.6,-6.4,179.0,481.0,1038.0,677.0,818.0,611.0,669.0,744.0,375.0
eye2v,36.7,-6.4,38.0,115.0,200.0,151.0,135.0,114.0,123.0,145.0,86.0
eye2x,36.7,-6.4,4.0,12.0,36.0,11.0,36.0,17.0,72.0,93.0,8.0
eye2y,36.7,-6.4,37.0,130.0,117.0,158.0,172.0,89.0,166.0,137.0,47.0
eye3p,36.8,-6.4,185.0,734.0,1466.0,1146.0,1101.0,889.0,837.0,1228.0,774.0
eye3r,36.8,-6.4,10.0,41.0,39.0,17.0,30.0,14.0,20.0,20.0,12.0
eye58,37.2,-7.0,1.0,3.0,18.0,7.0,9.0,6.0,30.0,60.0,29.0
eye59,37.2,-7.0,1.0,12.0,31.0,9.0,16.0,11.0,11.0,11.0,6.0
eye5c,37.2,-7.0,1038.0,4267.0,10660.0,8708.0,9396.0,7871.0,6654.0,8273.0,4873.0
eye5f,37.2,-6.9,3.0,2.0,27.0,21.0,38.0,27.0,18.0,12.0,8.0
eye5g,37.2,-6.9,10.0,50.0,94.0,94.0,53.0,56.0,30.0,56.0,33.0
eye5k,37.2,-6.8,5.0,13.0,41.0,39.0,32.0,13.0,12.0,26.0,10.0
eye6d,37.0,-6.6,11.0,20.0,86.0,39.0,46.0,42.0,62.0,105.0,92.0
eye6f,37.1,-6.6,1.0,4.0,2.0,2.0,,2.0,,,
eye6g,37.1,-6.5,1.0,2.0,15.0,15.0,13.0,26.0,25.0,39.0,6.0
eye6z,37.1,-6.4,3.0,15.0,16.0,,3.0,1.0,2.0,,2.0
eye7g,37.2,-6.5,5.0,51.0,127.0,165.0,232.0,173.0,65.0,84.0,73.0
eye7h,37.1,-6.5,6.0,1.0,1.0,3.0,4.0,1.0,,,1.0
eye81,36.6,-6.3,14.0,23.0,37.0,114.0,117.0,105.0,158.0,155.0,60.0
eye82,36.6,-6.3,31.0,77.0,224.0,91.0,34.0,24.0,42.0,26.0,24.0
eye84,36.6,-6.2,176.0,607.0,2104.0,2028.0,1975.0,1232.0,1089.0,1443.0,889.0
eye86,36.6,-6.2,15.0,82.0,159.0,149.0,645.0,794.0,765.0,426.0,98.0
eye8e,36.7,-6.2,5.0,8.0,38.0,20.0,8.0,24.0,46.0,22.0,22.0
eye8q,36.6,-6.0,2.0,10.0,17.0,13.0,18.0,29.0,23.0,37.0,26.0
eye8r,36.6,-6.0,1.0,,1.0,1.0,,,,,1.0
eye8s,36.7,-6.1,422.0,1811.0,4375.0,3881.0,3793.0,2919.0,2713.0,3270.0,1792.0
eye8t,36.7,-6.1,95.0,274.0,538.0,368.0,450.0,383.0,314.0,360.0,158.0
eye8u,36.7,-6.1,12.0,39.0,125.0,58.0,83.0,63.0,42.0,76.0,37.0
eye8v,36.7,-6.1,2.0,12.0,12.0,5.0,14.0,9.0,8.0,10.0,7.0
eye8x,36.7,-6.0,1.0,,1.0,,,,,,
eye92,36.8,-6.3,1.0,11.0,61.0,31.0,24.0,30.0,47.0,134.0,55.0
eye98,36.8,-6.3,2.0,1.0,8.0,6.0,14.0,10.0,18.0,19.0,6.0
eye9g,36.9,-6.2,19.0,85.0,243.0,161.0,123.0,71.0,62.0,102.0,51.0
eye9j,36.8,-6.1,1.0,3.0,3.0,,,,,3.0,
eye9n,36.8,-6.0,4.0,32.0,86.0,105.0,98.0,89.0,63.0,69.0,69.0
eye9t,36.8,-6.1,2.0,3.0,6.0,1.0,1.0,,1.0,,1.0
eye9v,36.9,-6.1,1.0,8.0,22.0,13.0,22.0,4.0,11.0,7.0,1.0
eye9w,36.8,-6.0,4.0,23.0,25.0,35.0,74.0,25.0,10.0,24.0,17.0
eyeb7,36.6,-5.8,1.0,1.0,,,,,,,
eyebb,36.7,-6.0,2.0,5.0,9.0,,4.0,9.0,1.0,9.0,4.0
eyebd,36.7,-5.9,74.0,164.0,363.0,369.0,150.0,116.0,139.0,505.0,162.0
eyebh,36.6,-5.8,2.0,4.0,8.0,3.0,2.0,1.0,2.0,3.0,1.0
eyebs,36.7,-5.8,136.0,596.0,1738.0,1731.0,1960.0,1327.0,1123.0,1424.0,916.0
eyebx,36.7,-5.6,1.0,4.0,19.0,20.0,19.0,26.0,9.0,22.0,14.0
eyec5,36.8,-5.8,70.0,238.0,678.0,467.0,542.0,461.0,362.0,518.0,314.0
eyecg,36.9,-5.8,15.0,51.0,161.0,104.0,112.0,92.0,97.0,87.0,43.0
eyecj,36.8,-5.7,2.0,4.0,20.0,8.0,13.0,6.0,39.0,23.0,4.0
eyecm,36.8,-5.7,10.0,63.0,257.0,155.0,106.0,44.0,42.0,59.0,29.0
