ADM0_A3,date,num_bot,num_hum,pct_num_bot,num_unrel_fact,num_rel_fact,pct_unrel_fact,fol_unrel_exp,fol_rel_exp,risk_index,sentiment
HTI,2020-03-10,929,1311,0.415,31,63,0.33,462358,3021163,0.133,-0.047
HUN,2020-03-10,933,1501,0.383,21,64,0.247,42369,586964,0.067,0.04
IDN,2020-03-10,10170,17019,0.374,189,635,0.229,797968,3529474,0.184,-0.008
IND,2020-03-10,26813,36648,0.423,715,2741,0.207,67585544,258038629,0.208,0.008
IRL,2020-03-10,5627,8746,0.391,75,671,0.101,198479,19338337,0.01,0.037
IRN,2020-03-10,1067,1490,0.417,27,96,0.22,797887,184006,0.813,-0.043
IRQ,2020-03-10,370,403,0.479,16,29,0.356,7527,834160,0.009,-0.066
ISL,2020-03-10,507,596,0.46,18,38,0.321,69020,50759,0.576,-0.011
ISR,2020-03-10,588,677,0.465,22,98,0.183,46405,339485,0.12,-0.045
ITA,2020-03-10,28439,37017,0.434,575,2348,0.197,6867158,136308215,0.048,-0.014
JAM,2020-03-10,1111,1530,0.421,25,67,0.272,44687,127034,0.26,0.012
JOR,2020-03-10,228,370,0.381,4,21,0.16,5714,234337,0.024,-0.03
JPN,2020-03-10,7131,8691,0.451,139,1412,0.09,286048,6013103,0.045,-0.052
KAZ,2020-03-10,353,442,0.444,8,25,0.242,153426,14047,0.916,0.017
KEN,2020-03-10,2598,4827,0.35,67,229,0.226,164437,6093653,0.026,-0.095
KGZ,2020-03-10,72,41,0.637,1,5,0.167,147,11161,0.013,-0.063
KHM,2020-03-10,118,182,0.393,2,12,0.143,807,6233,0.115,-0.061
KOR,2020-03-10,1881,2627,0.417,42,224,0.158,238688,1927273,0.11,-0.011
KWT,2020-03-10,328,624,0.345,3,27,0.1,718,261668,0.003,0.111
LAO,2020-03-10,310,547,0.362,8,40,0.167,9299,125316,0.069,-0.033
LBN,2020-03-10,732,1023,0.417,15,47,0.242,35142,308897,0.102,-0.011
LBR,2020-03-10,288,397,0.42,8,24,0.25,12130,42635,0.221,-0.053
LBY,2020-03-10,131,125,0.512,1,17,0.056,51,43417,0.001,-0.04
LKA,2020-03-10,457,696,0.396,13,37,0.26,54210,108712,0.333,0
LSO,2020-03-10,48,112,0.3,0,3,0,0,2674,0,-0.066
LTU,2020-03-10,271,437,0.383,6,18,0.25,23115,22708,0.504,-0.045
LUX,2020-03-10,253,363,0.411,6,30,0.167,38349,67539,0.362,0.052
LVA,2020-03-10,620,649,0.489,13,49,0.21,27517,539633,0.049,-0.022
MAC,2020-03-10,74,93,0.443,5,9,0.357,7381,98781,0.07,-0.031
MAR,2020-03-10,1594,2013,0.442,41,89,0.315,60531,173067,0.259,-0.03
MDA,2020-03-10,311,392,0.442,8,17,0.32,7513,52691,0.125,0.026
MDG,2020-03-10,107,268,0.285,6,5,0.545,26847,2080,0.928,0.027
MDV,2020-03-10,928,1549,0.375,18,81,0.182,40405,233439,0.148,-0.034
MEX,2020-03-10,13561,19854,0.406,541,918,0.371,35225701,8560826,0.804,-0.029
MKD,2020-03-10,142,218,0.394,5,16,0.238,3392,64293,0.05,-0.103
MLI,2020-03-10,222,458,0.326,12,45,0.211,33738,97243,0.258,-0.085
MLT,2020-03-10,324,408,0.443,10,25,0.286,10139,34330,0.228,0.008
MMR,2020-03-10,256,323,0.442,6,23,0.207,8573,17209,0.333,-0.009
MNE,2020-03-10,110,139,0.442,1,14,0.067,17242,7578,0.695,-0.082
MNG,2020-03-10,834,992,0.457,13,70,0.157,37493,459453,0.075,0.064
MOZ,2020-03-10,384,560,0.407,11,20,0.355,14393,96480,0.13,-0.03
MRT,2020-03-10,15,18,0.455,0,1,0,0,11,0,-0.001
MUS,2020-03-10,139,137,0.504,3,12,0.2,786,22108,0.034,-0.032
MWI,2020-03-10,295,499,0.372,8,17,0.32,17753,70814,0.2,-0.073
MYS,2020-03-10,9159,13877,0.398,43,1687,0.025,65965,19761685,0.003,-0.072
NAM,2020-03-10,271,479,0.361,5,38,0.116,1837,14271,0.114,0.007
NER,2020-03-10,150,171,0.467,1,7,0.125,639,4683,0.12,0.047
NGA,2020-03-10,3978,6426,0.382,142,301,0.321,1229656,29288060,0.04,-0.028
NIC,2020-03-10,788,1174,0.402,37,45,0.451,61996,442746,0.123,-0.047
NLD,2020-03-10,5493,8322,0.398,251,662,0.275,3162613,3363137,0.485,-0.004
NOR,2020-03-10,2467,3440,0.418,82,224,0.268,300505,537947,0.358,-0.022
NPL,2020-03-10,607,837,0.42,3,50,0.057,2071,240639,0.009,0.035
NZL,2020-03-10,1937,2649,0.422,84,218,0.278,590153,525059,0.529,-0.022
OMN,2020-03-10,170,282,0.376,2,8,0.2,780,2106,0.27,0.041
PAK,2020-03-10,3616,5239,0.408,70,289,0.195,529461,18207980,0.028,-0.046
PAN,2020-03-10,3351,5978,0.359,124,174,0.416,222993,543582,0.291,-0.063
PER,2020-03-10,5469,7625,0.418,342,203,0.628,42355139,450037,0.989,-0.002
PHL,2020-03-10,23163,32098,0.419,196,558,0.26,44148780,22033730,0.667,0.078
PNG,2020-03-10,446,588,0.431,12,33,0.267,12317,28637,0.301,0.015
POL,2020-03-10,2820,3872,0.421,55,224,0.197,80766,904470,0.082,-0.043
PRI,2020-03-10,2219,3407,0.394,63,254,0.199,143847,7327183,0.019,-0.043
PRK,2020-03-10,160,234,0.406,8,14,0.364,54515,44665,0.55,-0.05
PRT,2020-03-10,6158,8642,0.416,50,182,0.216,72370,1030689,0.066,-0.064
PRY,2020-03-10,4105,7338,0.359,52,88,0.371,99394,525372,0.159,-0.014
PSX,2020-03-10,438,540,0.448,19,47,0.288,144734,1011176,0.125,-0.015
QAT,2020-03-10,262,485,0.351,7,31,0.184,39612,7075812,0.006,-0.036
ROU,2020-03-10,1222,1475,0.453,36,91,0.283,106111,506799,0.173,-0.049
RUS,2020-03-10,7063,9423,0.428,224,500,0.309,1616486,1322511,0.55,-0.036
RWA,2020-03-10,227,407,0.358,5,19,0.208,4242,33600,0.112,0.13
SAH,2020-03-10,14,3,0.824,0,0,,0,0,,-0.115
SAU,2020-03-10,1342,2569,0.343,19,118,0.139,40389,551992,0.068,0.082
SDN,2020-03-10,134,239,0.359,0,15,0,0,20916,0,0.01
SDS,2020-03-10,354,538,0.397,11,29,0.275,27009,90695,0.229,-0.062
SEN,2020-03-10,341,472,0.419,5,16,0.238,2741,40618,0.063,-0.021
SGP,2020-03-10,1679,2289,0.423,46,341,0.119,57885,33270304,0.002,-0.022
SLB,2020-03-10,117,81,0.591,2,9,0.182,264,8871,0.029,-0.109
SLE,2020-03-10,110,112,0.495,3,4,0.429,9526,15765,0.377,0.064
SLV,2020-03-10,1038,1503,0.409,45,38,0.542,119935,174237,0.408,-0.101
SOM,2020-03-10,126,162,0.438,3,14,0.176,3505,98729,0.034,-0.074
SRB,2020-03-10,522,795,0.396,13,64,0.169,23681,129695,0.154,0.044
SUR,2020-03-10,54,72,0.429,1,5,0.167,2071,1986,0.51,-0.13
SVK,2020-03-10,260,333,0.438,6,25,0.194,10107,27343,0.27,-0.018
SVN,2020-03-10,634,1016,0.384,10,65,0.133,13182,108819,0.108,0.022
SWE,2020-03-10,10999,15390,0.417,267,759,0.26,1169191,24699373,0.045,-0.008
SWZ,2020-03-10,56,91,0.381,1,4,0.2,873,5503,0.137,-0.136
SYR,2020-03-10,131,222,0.371,2,10,0.167,2877,9428,0.234,-0.131
TCD,2020-03-10,209,408,0.339,5,38,0.116,18530,111638,0.142,-0.016
TGO,2020-03-10,249,334,0.427,11,22,0.333,34207,52261,0.396,-0.059
THA,2020-03-10,15019,22597,0.399,113,843,0.118,270131,11576232,0.023,-0.044
TJK,2020-03-10,35,20,0.636,0,2,0,0,1176,0,0.049
TKM,2020-03-10,15,32,0.319,1,2,0.333,166,9124,0.018,-0.161
TLS,2020-03-10,83,59,0.585,2,5,0.286,11146,61189,0.154,0.012
TTO,2020-03-10,272,353,0.435,3,20,0.13,828,27910,0.029,-0.073
TUN,2020-03-10,363,504,0.419,13,25,0.342,14517,50936,0.222,-0.044
TUR,2020-03-10,5230,7742,0.403,68,271,0.201,129525,706906,0.155,0.011
TWN,2020-03-10,1440,1751,0.451,34,135,0.201,315585,303740,0.51,-0.044
TZA,2020-03-10,316,371,0.46,6,54,0.1,13580,244033,0.053,-0.013
UGA,2020-03-10,602,1104,0.353,10,41,0.196,11717,225487,0.049,-0.088
UKR,2020-03-10,590,713,0.453,10,37,0.213,24391,98488,0.198,-0.013
URY,2020-03-10,997,1498,0.4,17,51,0.25,13048,115235,0.102,-0.068
USA,2020-03-10,362543,490668,0.425,20919,45470,0.315,300676993,1046708615,0.223,-0.062
UZB,2020-03-10,54,131,0.292,0,3,0,0,4108,0,0.074
VEN,2020-03-10,9039,16567,0.353,651,485,0.573,22247443,1437500,0.939,-0.021
VNM,2020-03-10,599,1187,0.335,13,53,0.197,59012,223945,0.209,0.288
YEM,2020-03-10,303,455,0.4,6,25,0.194,5443,267980,0.02,-0.028
ZAF,2020-03-10,10678,16480,0.393,267,1055,0.202,4321769,889079808,0.005,0
ZMB,2020-03-10,256,319,0.445,4,11,0.267,1340,24457,0.052,0.007
ZWE,2020-03-10,485,860,0.361,13,39,0.25,535221,609711,0.467,-0.086
_WORLD,2020-03-10,969877,1363167,0.416,37400,94759,0.283,705006888,3895623035,0.153,-0.043
