datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-03-20,791,25,12,65,268183,12238,390923,11,297,0,483,-0.016038215102974828,5.319183506610642,4.274850919844444,5.348307186385656,-0.039192753968253974,-0.04924351111111111,-0.04121926666666667,0.05435244444444445,-0.049306444444444444,,,,
2020-03-20,1013,43,11,64,49478,11481,74209,15,410,0,588,0.019156980519480518,5.468859182240473,4.272856205242278,5.5192886183638405,-0.046094,-0.0462928,-0.05934,0.08085142857142857,-0.041859,,,,
2020-03-20,976,40,17,71,496741,440935,110969,5,364,1,606,0.0038503205128205143,5.417170275589797,4.265011512952989,5.426226878185728,-0.061998250000000005,-0.06019,-0.05181975,0.08050900000000001,-0.059745375,,,,
2020-03-20,811,29,6,57,44490,6362,435222,13,345,0,453,0.00824920993227991,5.427937905236356,4.261923087323198,5.4586529255037,-0.060805125,-0.0576715,-0.05181975,0.08009775000000001,-0.058422875,,,,
2020-03-20,906,22,5,41,20460,8760,49712,3,346,5,552,0.060597614314115304,5.43627642729961,4.247864709721148,5.477543323476046,,,,,,,,,
2020-03-20,847,31,7,35,23114,15909,31996,1,344,3,499,0.017143280182232348,5.432603829915245,4.302243007329656,5.45410290827885,-0.02871066666666667,0.005125250000000001,-0.05934,0.084767125,-0.0046419999999999986,,,,
2020-03-20,817,27,7,63,46148,2943,56950,8,376,1,432,-0.04328372093023256,5.365278127243524,4.299561897121714,5.4387623842538,-0.0634225,-0.080087,-0.05934,0.09642733333333332,-0.11533399999999999,,,,
2020-03-20,914,27,9,52,23479,6576,50661,9,342,1,562,-0.021482217973231358,5.364601626122535,4.308280626593687,5.3626757166650725,-0.05255655555555556,-0.06067727777777778,-0.030633277777777773,0.07145468686868688,-0.07838983333333334,,,,
2020-03-20,898,30,13,67,34033,34074,310312,11,331,1,555,0.0102914,5.377430811421221,4.269445099175781,5.438193409700626,-0.04935344444444445,-0.04679601851851852,-0.04097634656084656,0.08550732445887445,-0.07350840277777777,,,,
2020-03-20,949,20,28,51,453425,44763,83918,12,374,2,561,-0.012055979202772965,5.373814406247224,4.3192160944997,5.437917828927949,-0.060695,-0.073906,-0.05934,0.088808,-0.100386,,,,
