datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-02-14,BEL,2092,348,62,406,7805959,833285,8540486,81,788,27,1196,-0.127,5.270,5.270,4.326,-0.031,-0.050,-0.040,-0.008,0.073,0.096,0.000,1,0,0
2020-02-15,BEL,2594,357,58,349,6915618,491607,8968931,80,1005,27,1482,-0.098,5.240,5.209,4.327,-0.031,-0.006,-0.040,0.008,0.078,0.066,,1,0,0
2020-02-16,BEL,2727,640,35,278,5869914,294899,5922599,49,1071,23,1584,-0.077,5.346,5.281,4.300,-0.020,-0.011,-0.040,0.008,0.076,0.048,,1,0,0
2020-02-17,BEL,2313,289,57,368,6644188,1102147,6996144,85,780,35,1413,-0.067,5.291,5.268,4.339,-0.019,-0.030,-0.046,0.002,0.079,0.142,0.002,1,1,0
2020-02-18,BEL,2891,281,75,475,7564082,879120,17021649,128,1059,31,1673,-0.129,5.321,5.262,4.333,-0.030,-0.038,-0.018,0.028,0.068,0.104,-0.002,1,1,0
2020-02-19,BEL,2181,232,64,386,5673580,649522,9623109,98,820,8,1255,-0.118,5.324,5.256,4.332,-0.032,-0.020,0.001,0.028,0.062,0.103,-0.005,1,1,0
2020-02-20,BEL,1822,228,51,279,4629712,788608,7240167,58,720,8,1036,-0.142,5.252,5.244,4.327,-0.044,-0.040,-0.043,0.013,0.076,0.146,-0.006,1,1,0
2020-02-21,BEL,2712,327,71,446,6923766,713097,10717241,96,946,12,1658,-0.097,5.276,5.262,4.315,-0.022,-0.004,-0.034,0.003,0.078,0.093,-0.004,1,1,0
2020-02-22,BEL,3614,460,69,476,6008932,669436,10775974,100,1257,10,2247,-0.131,5.180,5.232,4.253,-0.008,-0.018,-0.036,0.002,0.078,0.100,,1,1,0
2020-02-23,BEL,4798,497,84,641,7498113,794120,15413625,190,1913,36,2659,-0.117,5.145,5.195,4.312,-0.020,-0.011,-0.035,0.002,0.076,0.096,,1,1,0
2020-02-24,BEL,7903,618,98,1151,10650372,822989,24626680,399,3235,82,4187,-0.061,5.271,5.286,4.272,-0.023,-0.018,-0.037,0.003,0.076,0.072,-0.016,1,1,0
2020-02-25,BEL,9058,734,172,1318,17864757,967996,21927160,373,3817,51,4817,-0.041,5.333,5.344,4.247,-0.035,-0.035,-0.042,-0.006,0.075,0.051,-0.025,1,1,0
2020-02-26,BEL,9030,613,156,1192,10102328,1052603,15893873,257,3757,58,4958,-0.050,5.324,5.318,4.296,-0.027,-0.025,-0.040,-0.005,0.077,0.094,0.011,1,1,0
2020-02-27,BEL,9852,629,543,1230,11156521,1710420,19548427,241,4074,72,5465,-0.026,5.361,5.326,4.278,-0.035,-0.026,-0.044,-0.003,0.077,0.133,-0.025,1,1,0
2020-02-28,BEL,9847,535,334,1129,9000123,1205237,18423117,232,4190,51,5374,-0.010,5.402,5.376,4.278,-0.035,-0.015,-0.045,-0.004,0.077,0.118,-0.013,1,1,0
2020-02-29,BEL,10065,692,196,1351,11101520,1287615,12417134,166,4132,31,5736,-0.083,5.321,5.314,4.324,-0.029,-0.011,-0.042,-0.014,0.077,0.104,,1,1,0
2020-03-01,BEL,12121,794,175,1769,16205230,1110434,25430142,305,4921,42,6853,-0.087,5.291,5.286,4.300,-0.029,-0.030,-0.041,-0.008,0.076,0.064,,2,1,0
2020-03-02,BEL,14632,751,214,2296,17911825,1745080,30777259,391,6064,169,8008,-0.089,5.376,5.326,4.264,-0.051,-0.030,-0.045,-0.012,0.076,0.089,-0.011,8,1,0
2020-03-03,BEL,13082,663,212,1960,17803604,1531296,26740966,335,5096,110,7541,-0.107,5.321,5.315,4.276,-0.059,-0.039,-0.046,-0.025,0.076,0.079,-0.010,13,1,0
2020-03-04,BEL,12821,755,264,1669,13398189,1919242,22616071,311,5198,139,7173,-0.089,5.384,5.379,4.248,-0.063,-0.037,-0.044,-0.015,0.076,0.125,0.006,23,1,0
2020-03-05,BEL,13206,754,212,1939,14919396,1741261,30148253,420,5625,65,7096,-0.091,5.382,5.343,4.265,-0.038,0.003,-0.044,-0.026,0.077,0.105,-0.027,50,1,0
2020-03-06,BEL,13362,755,164,2064,12167701,1166449,24588496,458,5113,67,7724,-0.091,5.238,5.267,4.347,-0.023,-0.004,-0.044,-0.015,0.076,0.087,-0.012,109,1,0
2020-03-07,BEL,11580,722,275,1294,8448676,1287735,12534434,177,4746,51,6606,-0.148,5.123,5.190,4.414,-0.021,-0.018,-0.045,-0.002,0.076,0.132,,169,1,0
2020-03-08,BEL,11960,785,197,1228,12016314,1336197,16076787,199,5080,54,6627,-0.077,5.322,5.321,4.294,-0.025,-0.006,-0.046,-0.016,0.077,0.100,,200,1,0
2020-03-09,BEL,12094,709,158,1440,15797394,1198525,22395043,336,4949,105,6704,-0.029,5.397,5.366,4.274,-0.036,-0.023,-0.045,-0.012,0.076,0.071,,239,1,0
2020-03-10,BEL,13252,591,152,1424,7778328,1041111,18549470,426,5381,118,7327,-0.004,5.366,5.374,4.218,-0.032,-0.025,-0.044,-0.015,0.074,0.118,-0.019,267,1,0
2020-03-11,BEL,13746,757,165,1689,8840343,997329,22564201,410,5795,110,7431,0.036,5.407,5.397,4.227,-0.034,-0.027,-0.038,0.002,0.073,0.101,-0.019,314,1,3
2020-03-12,BEL,13322,632,191,1275,8205333,816055,13890288,315,5564,96,7347,-0.006,5.498,5.445,4.270,-0.037,-0.028,-0.044,-0.009,0.073,0.090,-0.106,314,1,3
2020-03-13,BEL,11853,594,163,1399,8557486,944478,17269561,306,4883,104,6560,0.026,5.490,5.455,4.266,-0.043,-0.038,-0.044,-0.007,0.075,0.099,-0.024,559,1,3
2020-03-14,BEL,12775,557,95,1179,5945186,753038,9990446,202,5411,77,7085,0.035,5.533,5.474,4.233,-0.038,-0.044,-0.044,-0.020,0.075,0.112,,689,1,4
2020-03-15,BEL,10590,362,59,768,3152518,344918,3377344,136,4255,42,6157,0.040,5.483,5.393,4.263,-0.038,-0.031,-0.040,-0.006,0.073,0.099,,886,1,4
2020-03-16,BEL,13119,679,268,1295,10349099,1214991,17769414,361,5311,90,7357,0.018,5.470,5.438,4.256,-0.040,-0.014,-0.044,0.001,0.076,0.105,-0.033,1058,1,5
2020-03-17,BEL,12260,588,120,1226,8441582,937046,13249195,363,4977,102,6818,-0.005,5.509,5.446,4.265,-0.053,-0.015,-0.043,-0.003,0.076,0.100,-0.040,1243,1,10
2020-03-18,BEL,11425,622,125,1259,10478463,1102379,11755018,338,4719,111,6257,0.024,5.452,5.414,4.271,-0.048,-0.035,-0.042,-0.007,0.075,0.095,0.023,1486,31,14
2020-03-19,BEL,11699,564,146,1258,7956111,1243228,12442087,341,4713,97,6548,-0.016,5.347,5.345,4.300,-0.057,-0.032,-0.045,-0.003,0.076,0.135,0.002,1795,31,21
2020-03-20,BEL,11376,585,247,1222,12126101,1191775,14990301,333,4530,101,6412,0.026,5.416,5.389,4.309,-0.058,-0.035,-0.043,-0.004,0.075,0.089,0.004,2257,1,37
2020-03-21,BEL,10191,561,202,1096,6957724,978176,11041720,203,4123,63,5802,0.032,5.434,5.403,4.240,-0.033,-0.014,-0.042,0.002,0.075,0.123,,2815,263,67
2020-03-22,BEL,12603,632,151,1277,6577295,798602,11237180,234,5024,69,7276,0.016,5.423,5.378,4.278,-0.037,-0.033,-0.042,0.002,0.076,0.108,,3401,263,75
2020-03-23,BEL,10551,537,123,1162,9358219,732035,13840018,352,4372,97,5730,0.035,5.459,5.395,4.297,-0.024,-0.023,-0.043,0.004,0.077,0.073,-0.004,3743,263,88
2020-03-24,BEL,10249,589,154,1351,7839835,1046378,13371387,385,4052,86,5726,0.054,5.481,5.429,4.248,-0.035,-0.017,-0.043,0.002,0.076,0.118,0.026,4269,461,122
2020-03-25,BEL,10947,682,178,1411,9403536,1516505,14970881,432,4636,105,5774,0.056,5.483,5.428,4.281,-0.030,-0.012,-0.043,0.004,0.076,0.139,-0.020,4937,547,178
2020-03-26,BEL,11020,715,116,1409,9016938,1036395,19288155,487,4337,147,6049,0.028,5.461,5.434,4.248,-0.025,-0.014,-0.043,0.009,0.075,0.103,0.053,6235,675,220
2020-03-27,BEL,11363,767,163,1441,11895168,1545322,15592511,436,4529,116,6282,0.024,5.489,5.458,4.253,-0.023,-0.023,-0.043,0.009,0.075,0.115,-0.024,7284,858,289
2020-03-28,BEL,10611,634,126,1255,7984174,1144127,12077545,251,4490,59,5811,-0.023,5.351,5.341,4.270,-0.026,-0.018,-0.042,0.004,0.076,0.125,,9134,1063,353
2020-03-29,BEL,10755,653,117,1251,7922276,891385,14225515,222,4714,75,5744,0.001,5.361,5.379,4.263,-0.027,-0.024,-0.046,0.004,0.078,0.101,,10836,1359,431
2020-03-30,BEL,11124,696,184,1415,14917740,1742155,18305169,445,4642,154,5883,0.036,5.452,5.426,4.255,-0.028,-0.018,-0.042,0.008,0.073,0.105,-0.010,11899,1527,513
2020-03-31,BEL,11611,655,150,1450,13626258,1450557,13955801,461,4556,114,6480,0.007,5.449,5.417,4.247,-0.036,-0.037,-0.043,0.002,0.070,0.096,0.013,12775,1696,705
2020-04-01,BEL,11311,620,181,1381,13648917,1159606,14028580,420,4516,143,6232,-0.002,5.421,5.394,4.262,-0.019,-0.022,-0.044,0.003,0.074,0.078,0.001,13964,2132,828
2020-04-02,BEL,11680,640,215,1339,11259363,1759325,13856085,500,4853,146,6181,0.035,5.454,5.421,4.245,-0.023,-0.012,-0.043,0.009,0.075,0.135,0.006,15348,2495,1011
2020-04-03,BEL,11862,755,255,1394,10005228,1613365,16706590,454,4986,128,6294,0.036,5.443,5.417,4.258,-0.038,-0.012,-0.040,0.014,0.074,0.139,-0.008,16770,2872,1143
2020-04-04,BEL,10283,718,187,1190,9821577,1725984,14231749,222,4160,73,5828,-0.022,5.414,5.381,4.273,-0.029,-0.016,-0.043,-0.000,0.076,0.149,,18431,3247,1283
2020-04-05,BEL,9645,746,224,1163,8890730,1437016,11727962,252,3887,85,5421,-0.041,5.406,5.389,4.311,-0.020,-0.003,-0.045,-0.002,0.076,0.139,,19691,3751,1447
2020-04-06,BEL,11233,855,218,1410,14998380,1496694,16558706,519,4422,144,6148,0.025,5.435,5.422,4.268,-0.023,-0.016,-0.042,0.009,0.076,0.091,0.002,20814,3986,1632
2020-04-07,BEL,11902,830,230,1431,10971175,2076083,16145741,538,4968,137,6259,0.100,5.499,5.459,4.252,-0.000,-0.004,-0.040,0.014,0.075,0.159,-0.001,22194,4157,2035
2020-04-08,BEL,11806,725,137,1404,10450718,1515462,15399841,541,5159,164,5942,0.038,5.464,5.437,4.274,-0.018,-0.010,-0.042,0.007,0.075,0.127,0.009,23403,4681,2240
2020-04-09,BEL,11353,849,156,1466,10152978,1307583,15688846,451,4632,145,6125,0.053,5.474,5.451,4.248,-0.017,0.003,-0.042,0.007,0.076,0.114,-0.004,24983,5164,2523
2020-04-10,BEL,10804,777,175,1357,13652127,1492656,13289363,388,4082,102,6232,0.021,5.457,5.425,4.245,-0.031,-0.015,-0.045,0.000,0.077,0.099,,26667,5568,3019
2020-04-11,BEL,10961,778,178,1286,8311399,1403112,12861146,232,4574,87,6068,-0.076,5.384,5.358,4.248,-0.037,-0.008,-0.044,-0.007,0.077,0.144,,28018,5986,3346
2020-04-12,BEL,10462,865,224,1181,10432256,1699823,13727692,245,4246,71,5900,-0.089,5.393,5.369,4.280,-0.019,-0.010,-0.046,-0.002,0.077,0.140,,29647,6463,3600
2020-04-13,BEL,10698,898,213,1232,17288831,2068728,11331117,309,4264,77,6048,-0.006,5.443,5.394,4.267,-0.005,-0.014,-0.043,-0.005,0.078,0.107,,30589,6707,3903
2020-04-14,BEL,11894,896,162,1544,13637645,1673523,18155089,579,4662,140,6513,0.035,5.449,5.433,4.256,-0.015,-0.007,-0.043,0.003,0.076,0.109,-0.023,31119,6868,4157
2020-04-15,BEL,12885,908,188,1609,16906468,1655736,17367790,619,5090,201,6975,0.009,5.430,5.417,4.257,-0.019,0.023,-0.043,0.003,0.076,0.089,-0.041,33573,7107,4440
2020-04-16,BEL,12227,851,154,1419,14896567,773388,15072127,603,4753,204,6667,0.045,5.466,5.440,4.256,-0.010,0.008,-0.044,0.005,0.077,0.049,-0.013,34809,7562,4857
2020-04-17,BEL,11637,774,172,1515,17219691,1114339,20287698,569,4876,148,6044,0.024,5.449,5.430,4.256,-0.029,-0.005,-0.043,0.003,0.077,0.061,0.000,36138,7961,5163
2020-04-18,BEL,9990,802,186,1347,9312701,1082786,12665220,277,3818,93,5802,-0.026,5.428,5.388,4.238,-0.026,0.000,-0.040,0.010,0.074,0.104,,37183,8348,5453
2020-04-19,BEL,10150,743,174,1126,9667664,1167834,9419722,247,4104,44,5755,-0.079,5.371,5.363,4.265,-0.025,-0.014,-0.044,0.000,0.076,0.108,,38496,8757,5683
2020-04-20,BEL,11488,871,261,1466,14846525,1558494,15174337,526,4666,141,6155,0.028,5.440,5.407,4.251,-0.024,-0.011,-0.042,0.007,0.076,0.095,-0.005,39983,8895,5828
2020-04-21,BEL,11748,940,224,1459,16759891,1397288,18173611,511,4949,180,6108,0.044,5.465,5.444,4.243,-0.016,-0.006,-0.042,0.008,0.077,0.077,-0.025,40956,9002,5998
2020-04-22,BEL,11830,871,211,1446,19503171,1370612,16103910,601,4655,150,6424,0.042,5.479,5.437,4.243,-0.026,-0.024,-0.043,0.003,0.077,0.066,0.002,41889,9433,6262
