datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-02-13,823,23,34,182,779655,46942,1568468,,13,311,0,499,0.01188,5.33527,4.31426,5.32954,-0.01964,-0.04592,-0.02397,0.07284,-0.01164,0,23,0,2,30,2,0,66,5,0,0,0,
2020-02-14,606,25,39,148,678730,100762,1635481,,15,207,2,382,0.00482,5.24698,4.29157,5.15305,-0.04609,-0.04877,-0.05934,0.07977,-0.04186,1,24,0,1,32,6,0,62,1,0,0,0,
2020-02-15,1776,27,16,228,792703,49199,2125020,0.05844,25,561,3,1187,0.25182,5.54559,4.3671,5.52669,,,,,,0,27,0,0,14,0,0,87,4,0,0,0,
2020-02-16,1132,41,21,172,349765,86403,1504061,0.1981,17,407,1,707,0.2429,5.3107,4.3929,5.2647,-0.00862,-0.01588,0.04277,-0.0035,-0.0099,0,41,0,0,16,4,0,65,2,0,0,0,
2020-02-17,1093,18,40,275,638742,121672,5089624,0.16001,40,385,0,668,0.10872,5.30726,4.33648,5.24533,,,,,,0,18,0,1,35,2,0,90,7,0,0,0,
2020-02-18,1287,13,43,321,330968,196112,2543242,0.37207,16,471,7,793,0.11328,5.19629,4.33164,5.19757,-0.00049,-0.01174,0.01627,0.02917,0.03059,0,13,0,1,37,3,0,82,8,0,0,0,
2020-02-19,968,6,49,174,2657,74891,1034321,,8,344,0,616,0.07897,5.27679,4.46372,5.46986,,,,,,0,6,0,5,39,5,0,61,6,0,0,0,
2020-02-20,793,14,47,147,48341,180729,1516720,,13,302,0,478,0.0194,5.19855,4.43027,5.31342,,,,,,0,14,0,0,45,2,0,40,3,0,0,0,
2020-02-21,878,31,35,174,925605,185914,3064998,,19,310,14,535,-0.03395,5.23338,4.21344,5.18615,0.02081,-0.02658,0.05139,0.00805,0.02395,0,31,0,0,19,16,0,60,2,0,0,0,
2020-02-22,953,46,29,198,659285,387663,1928447,,6,270,13,664,-0.06464,5.28535,4.23155,5.20711,-0.00243,-0.02663,0.011,0.00456,0.01763,0,46,0,0,25,3,0,79,12,0,0,0,
