datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-02-16,TUN,271,43,8,32,48729,27947,5306304,0,128,2,141,-0.085,5.226,5.237,4.271,-0.047,-0.055,-0.050,0.006,0.075,0.364,,0,0,0
2020-02-17,TUN,236,18,7,35,36835,18835,8424588,2,124,2,108,-0.050,5.266,5.250,4.398,-0.041,-0.049,-0.049,0.001,0.076,0.338,,0,0,0
2020-02-18,TUN,252,19,7,34,14217,12084,2146577,6,110,1,135,-0.188,5.290,5.226,4.325,-0.054,-0.050,-0.036,0.019,0.070,0.459,,0,0,0
2020-02-19,TUN,193,3,6,34,17327,22351,5234785,3,77,0,113,0.002,5.429,5.352,4.290,-0.040,,-0.023,0.033,0.065,0.563,,0,0,0
2020-02-20,TUN,167,13,0,18,34437,0,2041165,3,77,0,87,-0.232,5.393,5.316,4.307,,,-0.038,0.033,0.075,0.000,,0,0,0
2020-02-21,TUN,267,18,2,44,120525,18547,5445042,8,125,0,134,-0.134,5.414,5.380,4.225,-0.014,-0.024,-0.036,0.013,0.073,0.133,,0,0,0
2020-02-22,TUN,266,31,3,49,95712,18501,5355212,3,101,0,162,-0.190,5.252,5.228,4.217,-0.041,-0.049,-0.041,0.032,0.079,0.162,,0,0,0
2020-02-23,TUN,390,30,6,56,59616,11036,8058734,8,131,0,251,-0.283,5.137,5.189,4.351,-0.028,0.023,-0.040,-0.008,0.073,0.156,,0,0,0
2020-02-24,TUN,703,41,13,130,114115,18074,15265010,17,251,1,434,-0.077,5.408,5.381,4.276,-0.023,-0.049,-0.039,0.019,0.074,0.137,,0,0,0
2020-02-25,TUN,894,45,19,148,110503,25556,18612401,16,342,0,536,-0.123,5.320,5.337,4.309,-0.042,-0.059,-0.045,0.010,0.070,0.188,,0,0,0
2020-02-26,TUN,869,44,9,135,151227,8801,9481157,10,382,1,476,-0.191,5.245,5.233,4.291,-0.007,-0.002,-0.043,0.002,0.073,0.055,,0,0,0
