datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-02-14,ATA,119,10,6,11,9522,10536,6340,0,43,0,76,-0.026,5.313,5.274,4.367,-0.042,-0.048,-0.034,-0.006,0.061,0.525,,,,
2020-02-15,ATA,141,11,2,15,17082,2908,16472,0,43,0,98,-0.146,5.354,5.273,4.336,-0.051,-0.050,-0.042,0.013,0.071,0.145,,,,
2020-02-16,ATA,192,34,1,5,28770,2313,996,0,54,0,138,-0.110,5.411,5.394,4.265,-0.044,-0.052,-0.040,0.015,0.064,0.074,,,,
2020-02-17,ATA,166,13,6,14,14237,19396,18351,0,53,0,113,-0.132,5.304,5.319,4.319,-0.041,-0.032,-0.034,0.006,0.059,0.577,,,,
2020-02-18,ATA,172,8,4,20,5515,7436,39043,0,71,0,101,-0.166,5.317,5.246,4.369,0.037,0.005,-0.028,0.029,0.071,0.574,,,,
2020-02-19,ATA,141,4,4,13,1947,3681,9289,1,71,0,69,-0.092,5.290,5.275,4.406,,-0.067,-0.011,0.030,0.062,0.654,,,,
2020-02-20,ATA,121,6,1,7,3268,304,17215,0,53,0,68,-0.088,5.194,5.165,4.349,-0.041,-0.049,-0.035,0.019,0.068,0.085,,,,
2020-02-21,ATA,149,7,3,9,7292,9935,28983,0,50,0,99,-0.091,5.149,5.150,4.290,-0.002,0.031,-0.039,0.011,0.079,0.577,,,,
2020-02-22,ATA,215,28,3,18,12889,3973,30669,0,94,0,121,-0.169,5.260,5.318,4.251,-0.039,-0.009,-0.037,-0.008,0.076,0.236,,,,
2020-02-23,ATA,335,14,9,40,18030,5006,43756,0,111,0,224,-0.137,5.137,5.187,4.341,-0.016,-0.011,-0.034,-0.005,0.074,0.217,,,,
2020-02-24,ATA,403,28,7,35,25920,5419,24105,2,143,0,258,-0.103,5.218,5.239,4.277,-0.008,-0.019,-0.034,-0.007,0.073,0.173,,,,
2020-02-25,ATA,475,29,14,45,48153,61765,73574,0,231,0,244,-0.026,5.385,5.364,4.266,-0.013,-0.013,-0.032,-0.001,0.070,0.562,,,,
2020-02-26,ATA,510,26,10,32,26815,29370,35243,1,247,0,262,-0.036,5.382,5.349,4.284,-0.025,-0.014,-0.047,-0.027,0.076,0.523,,,,
2020-02-27,ATA,540,37,28,39,38743,37967,43246,2,216,0,322,-0.092,5.359,5.333,4.279,-0.042,-0.042,-0.048,-0.012,0.073,0.495,,,,
