datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_shadow,info_fact_other,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-02-01,20766,458,205,1224,14249939,309477,147221952,0.02126,201,8428,88,12049,-0.09878,5.2085,4.32205,5.07542,-0.04443,-0.0609,-0.03032,0.06145,-0.06411,15,443,4,79,82,20,0,651,118,1,0,0,
2020-02-02,27662,506,243,1538,9168299,261807,128241143,0.02776,331,11125,52,16154,-0.15307,5.2552,4.20767,5.09367,-0.03013,-0.05577,-0.02523,0.05471,-0.04643,12,494,1,65,163,8,0,815,88,2,0,1,
2020-02-03,11990,355,148,1228,41881003,257496,267627003,0.00611,492,4567,84,6847,-0.06568,5.27129,4.26253,5.21737,-0.02198,-0.05113,-0.01147,0.05069,-0.03461,21,334,1,35,95,11,0,512,109,2,0,1,
2020-02-04,14934,425,153,1450,80699423,434500,354451618,0.00536,722,5884,83,8245,-0.1347,5.19701,4.32642,5.18446,-0.02228,-0.05024,-0.0218,0.05256,-0.05489,18,407,0,4,136,5,0,545,94,2,0,1,
2020-02-05,15216,304,135,1746,43679215,256553,426592666,0.00584,544,6330,116,8226,0.07475,5.37004,4.26241,5.38398,-0.03719,-0.05785,-0.03665,0.06237,-0.07399,9,295,0,7,117,7,0,1024,81,2,0,1,
2020-02-06,9278,247,91,1089,13915121,151265,222295873,0.01075,327,3706,89,5156,-0.11468,5.30762,4.27921,5.32832,-0.02494,-0.06174,-0.01166,0.04202,-0.06507,9,238,0,4,70,7,0,362,59,2,0,1,
2020-02-07,9072,387,65,964,41305244,489183,283820679,0.0117,340,3877,53,4802,-0.1192,5.23989,4.27567,5.24056,-0.01392,-0.05574,0.01211,0.02492,-0.03659,3,384,0,3,52,4,0,337,38,3,0,1,
2020-02-08,8578,691,58,1041,8312088,108995,195999357,0.01294,227,3537,50,4764,-0.06085,5.26247,4.33394,5.24676,-0.02811,-0.05317,0.00452,0.02105,-0.05431,6,685,0,8,38,5,0,441,33,3,0,1,
2020-02-09,9434,354,144,856,15050786,274444,86060728,0.01791,148,3856,25,5405,-0.14681,5.19677,4.29319,5.18586,0.02004,-0.02645,0.03713,-0.00225,0.03497,7,347,0,53,79,9,0,297,53,3,0,1,
2020-02-10,7736,264,93,1017,15089636,328032,211075512,0.02128,271,3239,56,4170,-0.05972,5.23936,4.23581,5.23605,-0.05008,-0.0653,-0.04445,0.05254,-0.07899,5,259,0,13,65,8,0,439,39,3,0,1,
2020-02-11,7415,360,79,843,35901041,156093,258431456,0.00433,298,3037,39,4041,-0.11345,5.18702,4.31483,5.23631,-0.06109,-0.067,-0.05432,0.05811,-0.08351,8,352,0,3,64,9,0,313,39,3,0,1,
2020-02-12,4967,206,44,624,7626043,433996,153184768,0.05385,213,1941,26,2787,-0.04048,5.21179,4.2995,5.2369,-0.03549,-0.05674,-0.02273,0.03973,-0.06217,2,204,1,0,33,6,0,201,92,3,1,1,
2020-02-13,4235,219,74,473,36470596,203071,145953657,0.00554,186,1614,24,2411,-0.05328,5.2644,4.29319,5.29196,-0.03706,-0.04307,-0.04628,0.07093,-0.03829,9,210,0,16,43,8,0,147,42,3,1,1,
2020-02-14,3909,208,92,592,7476652,101902,193958451,0.01345,299,1502,25,2083,-0.11061,5.30535,4.34336,5.25475,-0.04391,-0.04781,-0.05477,0.07525,-0.04035,5,203,0,42,36,13,0,212,29,3,1,1,
2020-02-15,2928,212,63,453,7743066,302089,74645450,0.03755,115,1205,27,1581,-0.09376,5.26005,4.34116,5.25771,-0.03042,-0.06208,-0.01144,0.03381,-0.06459,2,210,0,2,51,5,0,151,19,3,1,1,
2020-02-16,3448,1061,46,382,8766261,177079,110167148,0.0198,112,1441,39,1856,-0.04616,5.30239,4.31271,5.34155,0.03327,-0.04698,0.02581,-0.01547,-0.0407,6,1055,0,6,35,4,0,112,26,3,1,1,
2020-02-17,3287,234,61,559,14202707,125393,163155403,0.00875,164,1318,45,1760,-0.00236,5.29798,4.29995,5.26688,-0.01937,-0.06176,0.00452,0.01973,-0.0314,3,231,0,22,30,8,0,178,32,3,1,1,
2020-02-18,4089,146,56,591,27863991,82715,150723951,0.00296,144,1718,44,2183,-0.1604,5.32428,4.37669,5.31268,-0.02265,-0.03678,-0.00551,0.03526,-0.05828,2,144,0,0,45,10,0,198,27,3,1,1,
2020-02-19,3868,131,82,639,28618771,134580,217903028,0.00468,215,1608,22,2023,-0.14751,5.31828,4.34288,5.41087,-0.02708,-0.06558,0.00598,0.03022,-0.08011,2,129,0,52,27,3,0,329,32,3,1,1,
2020-02-20,2863,176,34,436,34949526,84828,122236334,0.00242,135,1234,11,1483,-0.00143,5.26788,4.32298,5.34395,,,,,,4,172,0,1,21,10,0,128,31,3,1,1,
2020-02-21,3302,172,80,460,33725774,195703,167979186,0.00577,134,1422,23,1723,-0.06732,5.28523,4.28744,5.26706,-0.02346,-0.01564,-0.02177,0.03884,0.0008,3,169,0,24,38,16,0,162,19,3,1,1,
2020-02-22,3094,349,59,487,9066048,119484,149133671,0.01301,148,1231,14,1701,-0.09086,5.31701,4.24851,5.25704,-0.03594,-0.02575,-0.01597,0.0544,-0.03957,7,342,0,22,23,8,0,180,18,3,1,1,
2020-02-23,3978,331,92,539,671244,123718,134073336,0.15563,100,1650,33,2195,-0.04243,5.32249,4.31327,5.29754,-0.02675,-0.046,-0.03025,0.05796,-0.02315,5,326,0,39,45,5,0,175,72,3,1,1,
2020-02-24,6332,383,123,832,7602292,223626,193319056,0.02858,162,2516,65,3589,-0.00993,5.41091,4.33524,5.39959,-0.00638,-0.04014,0.01743,0.03393,-0.01122,3,380,0,44,64,11,0,257,53,3,1,1,
2020-02-25,7618,421,224,1074,27597284,531759,177118753,0.0189,159,3274,47,4138,-0.00925,5.37724,4.28132,5.39416,-0.03315,-0.05202,0.00486,0.02415,-0.03987,6,415,0,38,154,29,0,264,52,3,1,1,
2020-02-26,8194,397,250,944,27967405,297638,175253745,0.01053,184,3397,56,4557,-0.01564,5.39038,4.40325,5.39932,-0.01942,-0.05184,0.00868,0.0313,-0.03562,10,387,1,107,114,26,0,290,46,3,1,1,
2020-02-27,8714,418,215,1005,18429001,308793,164084257,0.01648,210,3676,54,4774,0.10529,5.40262,4.32195,5.5198,-0.02796,-0.04777,-0.01313,0.04743,-0.03111,6,412,8,77,103,23,0,310,50,3,1,1,
2020-02-28,10605,396,431,1039,21761025,905005,140440612,0.03993,205,4451,37,5912,0.12973,5.4209,4.3545,5.54027,-0.0293,-0.04187,-0.03422,0.06874,-0.0317,15,381,1,189,182,43,0,396,49,3,1,1,
2020-02-29,9150,437,275,924,1306030,629672,116978572,0.32529,160,3676,33,5281,0.06044,5.40578,4.37465,5.49603,-0.04264,-0.04229,-0.04676,0.07661,-0.03894,7,430,0,89,141,44,0,486,41,3,1,1,
2020-03-01,10404,358,337,1009,844624,367762,119875509,0.30334,128,4153,40,6083,0.09487,5.34702,4.23356,5.41311,-0.04095,-0.04954,-0.04079,0.06573,-0.03648,5,353,0,232,62,36,0,457,42,3,1,1,
2020-03-02,9883,396,255,1277,22128583,254334,246481435,0.01136,307,4008,33,5535,0.1272,5.3713,4.28376,5.50544,-0.0647,-0.03318,-0.05299,0.0803,-0.07462,7,389,0,125,81,44,0,713,75,3,1,1,
2020-03-03,8835,341,174,1172,10348014,618346,266197857,0.05639,193,3409,50,5183,0.00089,5.31149,4.33544,5.36618,-0.0492,-0.04553,-0.0557,0.07708,-0.0754,7,334,0,72,71,23,0,566,42,3,1,1,
2020-03-04,8949,331,142,1236,21983379,351697,242618415,0.01575,249,3960,73,4667,0.01286,5.36183,4.3195,5.36269,-0.03088,-0.05635,-0.05709,0.05708,-0.10633,5,326,0,36,89,14,0,545,37,3,1,1,
2020-03-05,9294,368,165,1386,29046677,1280002,224740880,0.04221,171,3862,64,5197,0.05827,5.3961,4.31805,5.47678,-0.02366,-0.04793,-0.0151,0.04933,-0.0458,6,362,3,66,81,11,0,710,30,3,1,1,
