rank,iso,country,tweets_day,risk_index,reliability,reliability_exposure,bot_unverified
42,IDN,Indonesia,39260.9,0.212,76.01%,72.98%,33.45%
43,TUR,Turkey,10375.1,0.213,76.13%,80.52%,39.21%
44,GRC,Greece,2775.8,0.215,75.61%,79.37%,41.14%
45,CHN,China,6389.7,0.218,76.72%,86.63%,37.72%
46,LKA,Sri Lanka,1406.2,0.218,75.08%,78.17%,40.51%
47,ROU,Romania,1755.2,0.218,74.14%,72.1%,43.38%
48,MAR,Morocco,2312.1,0.22,74.45%,78.96%,42.23%
49,GHA,Ghana,4036.7,0.225,75.26%,79.12%,37.64%
50,MDV,Maldives,1330.0,0.228,77.42%,76.59%,40.36%
51,URY,Uruguay,3230.7,0.237,66.34%,80.46%,39.06%
52,PRY,Paraguay,6691.3,0.238,55.23%,75.63%,34.66%
53,CZE,Czechia,1004.1,0.241,76.75%,75.75%,41.26%
54,AUT,Austria,3786.1,0.242,77.31%,75.99%,42.46%
55,BGD,Bangladesh,2051.9,0.246,76.6%,75.15%,39.37%
56,FIN,Finland,2497.1,0.249,76.93%,75.17%,42.14%
57,MNG,Mongolia,1028.8,0.249,71.42%,70.46%,38.96%
58,ZWE,Zimbabwe,1125.6,0.249,76.45%,73.42%,39.78%
59,CMR,Cameroon,1532.4,0.258,74.06%,71.48%,40.13%
60,VNM,Vietnam,1421.7,0.259,72.82%,79.17%,40.09%
61,USA,United States of America,577195.8,0.279,66.54%,72.29%,41.09%
62,NLD,Netherlands,9669.1,0.281,68.89%,71.49%,40.49%
63,SVN,Slovenia,1058.0,0.283,76.64%,76.87%,40.29%
64,DEU,Germany,25571.9,0.287,77.48%,68.87%,42.04%
65,NOR,Norway,3645.2,0.296,74.03%,62.07%,40.63%
66,PAN,Panama,2732.2,0.319,58.63%,68.87%,37.81%
67,HUN,Hungary,2066.7,0.329,69.39%,72.4%,38.69%
68,TWN,Taiwan,2617.4,0.336,75.85%,61.48%,40.85%
69,IND,India,83611.8,0.37,72.39%,63.01%,40.19%
70,AFG,Afghanistan,3209.6,0.374,61.63%,60.2%,38.02%
71,COL,Colombia,25773.5,0.377,58.6%,59.55%,38.52%
72,DOM,Dominican Republic,3328.4,0.384,53.79%,64.4%,35.39%
73,CUB,Cuba,3434.7,0.393,44.58%,66.7%,36.57%
74,HTI,Haiti,1899.7,0.401,71.7%,56.03%,40.42%
75,AGO,Angola,1725.1,0.41,65.61%,58.31%,40.52%
76,ALB,Albania,1208.7,0.419,68.15%,59.22%,42.92%
77,RUS,Russia,12086.7,0.469,67.63%,52.53%,41.52%
78,CRI,Costa Rica,2117.2,0.477,60.72%,52.04%,39.26%
79,NIC,Nicaragua,1404.8,0.492,45.34%,54.03%,40.6%
80,ECU,Ecuador,14544.9,0.502,44.8%,47.9%,36.94%
81,HND,Honduras,1494.4,0.503,46.79%,48.38%,40.71%
82,GTM,Guatemala,2605.2,0.512,48.83%,45.9%,39.35%
83,PHL,Philippines,27327.8,0.558,62.53%,47.61%,40.9%
84,SLV,El Salvador,3386.8,0.57,39.27%,44.43%,37.46%
85,MEX,Mexico,52448.3,0.634,57.48%,29.93%,38.24%
86,IRN,Iran,1886.5,0.637,72.24%,38.88%,40.74%
87,VEN,Venezuela,29448.0,0.859,29.59%,13.47%,34.07%
88,PER,Peru,10546.7,0.978,34.69%,2.08%,40.58%
